Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
528885,CARGAS,GEC 030808DD6,RIO SAN ANGEL NO 201 L,VALLE DE PUEBLA 6A SECCION,21395,MEXICALI BCN,BAJA CALIFORNIA NORTE,65778759,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
421800,GASOL EST EL ENCANTO,EEN 020323816,BENITO JUAREZ NO 490 PISO 1 D,EL ENCANTO NORTE,21447,TECATE BCN,BAJA CALIFORNIA NORTE,56557327,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
791830,LUIS ALVARES E HIJOS,LAH900517UH3,CRR TRANSPENINSULAR KM 124 SN,MANEADERO RODOLFO SANCHEZ T,22790,ENSENADA BCN,BAJA CALIFORNIA NORTE,1540740,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
734475,3379 PLAZA AMERICANA,OFC 960320UX2,CARR AL AEROPUERTO 1,ANEXA DEL RIO,22416,TIJUANA BCN,BAJA CALIFORNIA NORTE,44929503,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
814277,1790 INDEPENDENCIA,OFC960320UX2,C INDEPENDENCIA Y VILL SN,LOMA LINDA,21140,MEXICALI BCN,BAJA CALIFORNIA NORTE,44929503,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
932483,STAR GAS,GEN 931201C43,BLVD INSURGENTES NO 8202,KINO,22580,TIJUANA BCN,BAJA CALIFORNIA NORTE,46835151,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1003285,GAS 1897 TECOLOTES,DAG 560515GAA,AV VICENTE GUERRERO SN 5 MAYO,LIC BENITO JUAREZ,21900,MEXICALI BCN,BAJA CALIFORNIA NORTE,65174158,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1003671,GAS AUTOSERVICIOS ALFA,AAL 010723QW4,C ALCERREGA NO 2701,ORIZABA,21130,MEXICALI BCN,BAJA CALIFORNIA NORTE,65520040,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1014110,SERVICIO CORPORATIVO,OFC 960320UX2,C 15 1599,LIBERTAD,22400,TIJUANA BCN,BAJA CALIFORNIA NORTE,41047300,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
867200,ESTACION LA VILLA,GAS 010924CE7,AV EL NOGAL NO 3478,EL CORTEZ,22600,TIJUANA BCN,BAJA CALIFORNIA NORTE,46333122,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
870238,GAS OMEGA VIA RAPIDA,OFC 960320UX2,VIA RAPIDA NO 17026,RIO TIJUANA 3A ETAPA,22226,TIJUANA BCN,BAJA CALIFORNIA NORTE,41047325,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1009597,GAS 1915 KM 43,DAG 560515GAA,PRIMAVERA CARR ABATAQUEZ KM44,CHAPULTEPEC,21723,MEXICALI BCN,BAJA CALIFORNIA NORTE,65616531,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1015987,GAS AUTOSERVICIO DUAL,ADI 090714J30,CARR TRANSP KM 193,NUEVO BAJA CALIFORNIA,22930,ENSENADA BCN,BAJA CALIFORNIA NORTE,61668893,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1030452,ESTACION EL NARANJO,OFC 960320UX2,CARR TRANS ENSENADA PAZ NO4514,CARLOS PACHECO,22780,ENSENADA BCN,BAJA CALIFORNIA NORTE,61766180,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1030745,EST EL CAPITAN,OFC 960320UX2,CARR TRANS NO 6,ACAPULCO,22890,ENSENADA BCN,BAJA CALIFORNIA NORTE,61766888,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1038602,GAS SERV RP,OFC960320UX2,C VENUSTIANO CARRANZA NO 355,CANTU,21260,MEXICALI BCN,BAJA CALIFORNIA NORTE,65663671,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1073076,POGAS EST 8612,SPO 040607AS2,CARR TRANSPENINSULAR KM 180,PADRE KINO,22925,ENSENADA BCN,BAJA CALIFORNIA NORTE,61688930,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1057593,PRAXAIR MEXICALI,PME960701GG0,BLVD LAZARO CARDENAS NO 1493,INDEPENDENCIA,21290,MEXICALI BCN,BAJA CALIFORNIA NORTE,65640471,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1055596,GASOL SERV CAMPESTRE,SARA320324C81,CARR SAN FELIPE KM 3,CERRO PRIETO 2,21700,MEXICALI BCN,BAJA CALIFORNIA NORTE,65617103,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1100365,ESTACION ALTAMIRA,ROPC521120LN2,C DIAZ MIRON NO 1013,ZONA CENTRO,22000,TIJUANA BCN,BAJA CALIFORNIA NORTE,46831395,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1073197,SERV LA CALI,SCA 020112UF2,CARR TRANSPENINSULAR LT1 2E SN,CAMALU,22910,SAN QUINTIN BCN,BAJA CALIFORNIA NORTE,61011771,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1073424,POGAS EST 9165,SPO 040607AS2,CARR TRANSPENINSULAR NO 2500,EL PAPALOTE,22940,ENSENADA BCN,BAJA CALIFORNIA NORTE,1653431,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1111163,GAS EL REY ANAHUAC,GRC 170125G63,ANAHUAC ESQ CALD SN KM 13 8,CASA MAGNA,21354,MEXICALI BCN,BAJA CALIFORNIA NORTE,62569996,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1116213,GAS ES CETYS DIESEL,OTC 130221QU8,CALZ CETIS 2599,RIVERA,21259,MEXICALI BCN,BAJA CALIFORNIA NORTE,65645692,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1073004,SERV LA CALI,SCA 020112UF2,CARR TRANSP KM 200 SN,RAUL SANCHEZ DIAZ,22940,SAN QUINTIN BCN,BAJA CALIFORNIA NORTE,1011771,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1084461,GAS LOSAR PABELLON,PGA 130607FBA,CARR LIBRE TIJ ENSENADA NO300,REFORMA,22704,ROSARITO BCN,BAJA CALIFORNIA NORTE,16139663,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1116214,GAS STA ISABEL DIESEL,OTC 130221QU8,BLVD LAZARO CARDENAS 599,LOS VINEDOS,21138,MEXICALI BCN,BAJA CALIFORNIA NORTE,62218118,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1103081,COSTCO GAS MEXICALI,CGA 160215952,CARR MEX SAN FELIPE NO 190,EX EJIDO COAHUILA,21360,MEXICALI BCN,BAJA CALIFORNIA NORTE,65804530,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1114513,GAS SERVICIO,GSV 070221L9A,JOSEFA ORTIZ DE D MZ 02 LT 14,SAN FELIPE,21850,SN FELIPE BCN,BAJA CALIFORNIA NORTE,61098111,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1131395,EST ASOC DEL DESIERTO,GAD 980123MN1,CARR TRANSPENINSULAR KM 95,VILLA JESUS MARIA,22980,ENSENADA BCN,BAJA CALIFORNIA NORTE,51594128,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1111151,GAS EL REY 5TA DEL REY,GRC 170125G63,ANAHUAC NO 2246,VILLA DEL REY TERCERA ETAPA,21353,MEXICALI BCN,BAJA CALIFORNIA NORTE,61360380,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1151702,EST SERV SAGITARIO,ESS 0802116K7,BLVD PACIFICO NO 8491,INDUSTRIAL PACIFICO I,22643,TIJUANA BCN,BAJA CALIFORNIA NORTE,46333130,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1146457,SERVICIO MORELOS,TOME661231AQ2,AV MORELOS Y LEYES REFORMA SN,CIUDAD MORELOS,21960,MEXICALI BCN,BAJA CALIFORNIA NORTE,65147065,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1167346,COSTCO GAS ENSENADA,CGA 160215952,CARR TRANSPENINSULAR ENSLA PAZ,CARLOS PACHECO,22898,ENSENADA BCN,BAJA CALIFORNIA NORTE,61723810,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1291286,SUMA ENERGY CARD CIB,ESU25031177A,PROL PASEO DE LOS HEROES 13351,ANEXA 20 DE NOVIEMBRE,22100,TIJUANA BCN,BAJA CALIFORNIA NORTE,43895550,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1312221,GASOL CUAUHTEMOC,EVI0802115Y2,CUAUHTEMOC 3658,CHULA VISTA,22045,TIJUANA BCN,BAJA CALIFORNIA NORTE,42573221,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1312223,GASOL LIBERTAD AERO,EVI0802115Y2,BLVD CUAUHTEMOC 296,LIBERTAD,22400,TIJUANA BCN,BAJA CALIFORNIA NORTE,42572006,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1322858,GASOL AVANTIX,SPD 070627DZA,BLV CORRED 2000 TJ RO NO 24987,CARDENAS LAZARO,22210,TIJUANA BCN,BAJA CALIFORNIA NORTE,6343559,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1310352,GASOLINERIA SERVI ROSA,SRO990503BQ3,LIBRAMIENTO CTO ORIENTE 1600,LAS LOMITAS,22810,ENSENADA BCN,BAJA CALIFORNIA NORTE,61182014,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1312220,GASOL CENTRO,EVI0802115Y2,C SALVADOR DIAZ MIRON 7321,ZONA CENTRO,22000,TIJUANA BCN,BAJA CALIFORNIA NORTE,42525620,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1312224,GASOL SANTA MARIA,EVI0802115Y2,BLVD LAS FUENTES 22122,HACIENDA SANTA MARIA,22245,TIJUANA BCN,BAJA CALIFORNIA NORTE,42572060,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3242237,GASSHOP,GAS 040116QD7,BLVD BENITO JUAREZ NO 1599,FRACCIONAMIENTO CALASIA,21280,MEXICALI BCN,BAJA CALIFORNIA NORTE,85586380,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
