Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
1013064,GAS LA RIVERA 2,ESR 100128373,C LA RIVERA SN,LA RIVERA,23570,LOS CABOS BCS,BAJA CALIFORNIA SUR,41298766,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1012027,GAS LA RIBERA,ESR 100128373,CARR A CABO PULMO KM 1 NO 3,LA RIVERA,23570,LOS CABOS BCS,BAJA CALIFORNIA SUR,41234523,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1016269,GASOL SERV LA TOBA,STO 100924E19,TRA LIB TRA INS LTO KM1 NO 509,CIUDAD INSURGENTES,23700,COMONDU BCS,BAJA CALIFORNIA SUR,31310016,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1009589,GASOL PUNTA ABREOJOS,APA 110609495,C MIGUEL HIDALGO SN,PUNTA ABREOJOS,23970,MULEGE BCS,BAJA CALIFORNIA SUR,51562298,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1019158,GAS SAN IGNACIO,ESS 080904UD7,BARRIO SAN LINO SN,SAN IGNACIO CENTRO,23930,MULEGE BCS,BAJA CALIFORNIA SUR,51540060,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1035419,PRAXAIR SN J DEL CABO,PME960701GG0,CARR TRANSPEN KM 32 5 SN,AEROPUERTO INT LOS CABOS,23400,LOS CABOS BCS,BAJA CALIFORNIA SUR,41425096,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1045447,EST DE SERV MULEGE,CACR610315GB6,C MOCTEZUMA SN,BARRIO DEL DOMINO,23900,MULEGE BCS,BAJA CALIFORNIA SUR,51530393,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1049770,GAS LA METALICA,APO 040908F17,C ALVAREZ RICO NO 19,BATEQUITOS,23600,CD CONSTITUCION BCS,BAJA CALIFORNIA SUR,31328048,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1159444,GASOLINERA LA DANZANTE,DAN 100421FN7,BENITO JUAREZ 98,CENTRO,23880,LORETO BCS,BAJA CALIFORNIA SUR,31181705,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1142162,COSTCO GAS LOS CABOS,CGA 160215952,CARR TRANSPENINSULAR KM 4 5,EL TEZAL,23454,LOS CABOS BCS,BAJA CALIFORNIA SUR,41467180,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
