Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
1056586,GAS ESGES ESCARCEGA,ESG000418CS4,CARR ESC C C30 MZ Z ZONA 1 SN,ESCARCEGA,24350,ESCARCEGA CAMP,CAMPECHE,1273200,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1101611,PRAXAIR PTO PESQUERO,PME 960701GG0,CALLE 42 C SN,PUERTO PESQUERO,24129,CD DEL CARMEN CAMP,CAMPECHE,83820087,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1105674,NUM DE ESTACION 13701,GVI 141215U54,C 21 NO 7,CANDELARIA CENTRO,24330,CANDELARIA CAMP,CAMPECHE,28260339,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1158237,ESGES PUNTILLA,ESG000418CS4,AV LUIS DONALDO COLOSI SN X 36,VEINTE DE NOVIEMBRE,24130,CD DEL CARMEN CAMP,CAMPECHE,1273200,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1243688,AMIGAS DESPACHADORAS,ADD 200521DF7,20 240,CALKINI CENTRO,24900,CALKINI CAMP,CAMPECHE,11292615,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2049773,ASA CAMPECHE,ASA 6506102U9,AV LOPEZ PORTILLO SN,SANTA BARBARA INFONAVIT,24070,CAMPECHE CAMP,CAMPECHE,8234059,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1575463,PRAXAIR CAMPECHE,PME960701GG0,AV GOBERNADORES NO 72,SANTA LUCIA,24020,CAMPECHE CAMP,CAMPECHE,18279038,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4007709,GPO GASOLINERO VILLA 2,GGV 140605190,AV CALAKMUL NATZCAN SN,FUNDADORES,24640,CALAKMUL CAMP,CAMPECHE,38716216,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4028858,GASOLINERA PLAYA NORTE,GDI 9612186D7,AV JUAREZ 245,MIAMI,24115,CD DEL CARMEN CAMP,CAMPECHE,21047638,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4043752,MULTISERV DZIBALCHEN 2,MDZ 100112V70,CARR KM 12 550 EDZN SN,ALFREDO V BONFIL,24570,CAMPECHE CAMP,CAMPECHE,11447983,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4046709,EST SERV TENABO,SEM 1410318Q5,C 10 SN,TENABO CENTRO,24700,TENABO CAMP,CAMPECHE,63380057,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3669108,PRAXAIR CD DEL CARMEN,PME960701GG0,LTE 1 MZA C,AVIACION,24170,CD DEL CARMEN CAMP,CAMPECHE,83812087,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4046387,SERVS CHAMP MALECON,SEC 141031S67,C 38 NO 497,ISSSTE,24400,CHAMPOTON CAMP,CAMPECHE,23380057,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4007707,GRUPO GASOLINERO VILLA,GGV 140605190,C 10 SN,ALEJANDRIA,24330,CANDELARIA CAMP,CAMPECHE,28260765,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4011422,GASOLINERA SAN RAFAEL,DSG 890605KY6,AV PATRICIO TRUEBA REGIL 508,SAN RAFAEL,24090,CAMPECHE CAMP,CAMPECHE,18131900,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4015179,GASOL LA FLOR CALKINI,CFC130905CX1,CARR MERIDA CAMPECHE KM 8 101,CALKINI CENTRO,24900,CALKINI CAMP,CAMPECHE,91276857,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4103965,EST SERV ESCARCEGA,SEM 1410318Q5,C 30 LT 3,MORELOS,24350,ESCARCEGA CAMP,CAMPECHE,23380057,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
