Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
832287,GASOL DEL RIO,ADF 6908013Q9,AV TECNOLOGICO NO 3018,PRADERA DORADA 1 Y 2,32618,CD JUAREZ CHIH,CHIHUAHUA,6230826,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
913756,GAS OPER RAMSA,ORA0507116F3,JUAREZ PORVENIR NO 1631,RIVERAS DEL BRAVO,32594,CD JUAREZ CHIH,CHIHUAHUA,62191705,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
546713,SERV LOS PEPES,SPE 0204111M2,C 18 NO 1407 L,CENTRO,31500,CUAUHTEMOC CHIH,CHIHUAHUA,55835440,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004943,DIST DE COMBUSTIBLES,DCO 020410BX1,AV NINOS HEROES NO 2300,3 DE MAYO,31065,CHIHUAHUA CHIH,CHIHUAHUA,44593069,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1009052,PRAXAIR MEGA TDA CHIH,PME960701GG0,C ALFREDO NEVAREZ NO 10707,CAMPUS CITY PATIO COMERCIAL,31124,CHIHUAHUA CHIH,CHIHUAHUA,44848804,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
895938,GASOL CAFETALES,CAR061024KV1,V CIRC UNIVERSITARIO NO 15506,CAFETALES,31125,CHIHUAHUA CHIH,CHIHUAHUA,4939370,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1024478,PRAXAIR CHIH WELDING C,PME 960701GG0,ALFREDO NEVAREZ NO 10707,DEPORTISTAS,31125,CHIHUAHUA CHIH,CHIHUAHUA,44848804,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1030593,SERVICIO OLLIVIER,SOR 101224K92,AV TECNOLOGICO NO 100,NUEVO CASAS GRANDES CENTRO,31700,NUEVO CASAS GRANDES CHIH,CHIHUAHUA,66941211,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1074885,GASOLINERA PONCE,POOA6804047S4,AV LOPEZ MATEOS NO 802,ADMON DE CORREOS EL TERRERO,31960,NAMIQUIPA CHIH,CHIHUAHUA,95774019,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1084397,SERVICIO EL ENTROQUE,AAGO361115CT6,OSCAR SOTO MAYNEZ KM 112,EL MOLINO,31964,NAMIQUIPA CHIH,CHIHUAHUA,95760625,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1123990,MULTISERVICIOS SEGMA,MSE 0012099M1,DOMICILIO CONOCIDO SN,EL MIRADOR,31690,GUERRERO CHIH,CHIHUAHUA,53830202,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1126764,COMB Y LUB LOS CACHORR,CLC 0303147G8,VICENTE GRO Y FCO I MADERO SN,10 DE MAYO,31680,GUERRERO CHIH,CHIHUAHUA,55861449,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1086062,MEGA CHIHUAHUA,PME960701GG0,AV SILVESTRE TERRAZAS NO 7010,ZARCO,31020,CHIHUAHUA CHIH,CHIHUAHUA,44110812,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1091868,SERVICIO EL ENTRONQUE2,AAGO361115CT6,C 12 DE AGOSTO NO 1610,BARRIO EL SACRIFICIO,31963,NAMIQUIPA CHIH,CHIHUAHUA,95660274,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1140114,PRAXAIR P CD JUAREZ,PME 960701GG0,AV ROBERTO FIERRO NO 6415,PARQUE INDUSTRIAL AEROPUERTO,32695,CD JUAREZ CHIH,CHIHUAHUA,63790042,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1227145,GAS LUIS MANUEL GONZAL,GOEL530405N45,BASUCHIL SIN NUMERO,BASUCHIL,31687,GUERRERO CHIH,CHIHUAHUA,85816979,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1469766,GAS CENTRO CD GUERRERO,OOCV370103MF2,FCO I MADERO NO 1404,CENTRO,31680,GUERRERO CHIH,CHIHUAHUA,55860034,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1489731,GAS SERVICIO SATEVO,MAMC481125ST9,CARR VIA CORTA CHIH PARR KM49,SATEVO,33150,SATEVO CHIH,CHIHUAHUA,44244368,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1490044,GAS JLE SACV,JLE 680206JI4,AV AGUSTIN MELGAR NO 3901,ARGENTINA,31110,CHIHUAHUA CHIH,CHIHUAHUA,44240081,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1746296,GASOL AZTECA,GAZ 920514D52,AV 16 SEP Y ALBERTO RGUEZ SN,GUADALUPE VICTORIA,31580,CUAUHTEMOC CHIH,CHIHUAHUA,5813940,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2044642,GAS SERVICIO REGINA,MAMM451221LP8,ENTRONQUE CARR JULIMES,JULIMES,32950,JULIMES CHIH,CHIHUAHUA,11111627,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2058477,ASA CHIHUAHUA,ASA6506102U9,BLVD JUAN PABLO II KM 14 SN,LAS ACACIAS,31380,CHIHUAHUA CHIH,CHIHUAHUA,4468382,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1518372,PRAXAIR PLANTA JUAREZ,PME 960701GG0,ROBERTO FIERRO NO 6415,PARQUE INDUSTRIAL AEROPUERTO,32695,CD JUAREZ CHIH,CHIHUAHUA,62820170,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2305191,PRAXAIR DELICIAS,PME 960701GG0,AV 6A OTE NO 204,BUGAMBILIAS,33000,CD DELICIAS CHIH,CHIHUAHUA,94727555,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
3891397,GASOLINERIA VARGAS,VAGL690802DM1,C ADOLFO LOPEZ MATEOS SN,TEMORIS,33380,GUAZAPARES CHIH,CHIHUAHUA,54574135,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4001220,RENDILITROS P D LA JUV,PRO 020807JB7,AV P DE LA JUVENTUD 7929,JARDINES DEL SAUCITO,31123,CHIHUAHUA CHIH,CHIHUAHUA,42073635,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2077055,GAS LUC CASASCOLORADAS,MACA621227E90,AV 16 DE SEPTIEMBRE NO 403,ARROYO DE ENCINOS,31964,NAMIQUIPA CHIH,CHIHUAHUA,5780186,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2145043,MEOQUI CORPORACION,MCO 990507KE4,DEGOLLADO NO 1200,MEOQUI,33130,MEOQUI CHIH,CHIHUAHUA,4732194,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4010867,RENDILITROS DELICIAS,PRO 020807JB7,AV RIO SAN PEDRO SUR 0412,SECTOR SUR,33000,CD DELICIAS CHIH,CHIHUAHUA,91202424,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3483567,GAS ABRAHAM GONZALJI,SGA 050521S43,C SOR JUANA I DE LA CR 1004,ABRAHAM GONZALEZ,33980,JIMENEZ CHIH,CHIHUAHUA,95428416,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4011919,CAMPO 87,FEWA7406067I7,CAMPO 87,CAMPO MENONITA 70,31641,RIVA PALACIO CHIH,CHIHUAHUA,45418238,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4012327,GASOL COMBUSTIB TEIKA,CTC 110128SH4,OBREG CAMP NO 20 KM 11 700 C A,CAMPO 20,31607,CUAUHTEMOC CHIH,CHIHUAHUA,1186825,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4015657,SUPER SERV HERRERA,SSH 901002S14,BLVD TALAMAS NO 7070,CENTRO,32000,CD JUAREZ CHIH,CHIHUAHUA,6332179,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4020884,SERVICIO LINDEROS 1,SLI 051206822,AVE NINOS HEROES KM 5 SN,GOMEZ MORIN,33827,HIDALGO DEL PARRAL CHIH,CHIHUAHUA,75272588,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4023871,SERVICIO SAN URIEL 2,SSU 040713Q41,AV NINOS HEROES KM 1.3,HEROES DE LA REVOLUCION,33815,HIDALGO DEL PARRAL CHIH,CHIHUAHUA,75222080,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4024224,SERV BALLEZA GAS2,SBA 090404RZ2,CARR PARRAL BALLEZA KM103,AGUJAS,33560,BALLEZA CHIH,CHIHUAHUA,91049300,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
