Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
787606,GASOL ES 08996,API981020E64,PERIF SUR NO 5550,VILLA PANAMERICANA UNID HAB,4700,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,5112186,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
596916,REGIO GAS,RGA 780728SP9,INSURG NTE NO 1894 PISO 4,LINDAVISTA,7300,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,7470310,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1011079,PRAXAIR MEXICO CR,PME960701GG0,BIOLOGO MAXIMINO MART NO3804,SAN SALVADOR XOCHIMANCA,2870,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,53427000,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1019613,GAS AZCAPOTZALCCD MEX,SZA 120611RZ0,ZARAGOZA NO 8,AZCAPOTZALCO CENTRO,2000,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,53522914,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1009291,PRAXAIR MEXICO,PME960701GG0,BIOL MAXIMINO MARTINEZ NO 3804,SAN SALVADOR XOCHIMANCA,2870,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,53549500,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1028510,GAS EXP NIETO PENJAMO,GEN 700527K14,CARR110 IRAP LA PIED KM50 M375,N? DEFINIDA,0,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,96924545,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1046828,GASEXPNIETO APATZINGAN,GEN 700527K14,KM 1 CARR APATZINGA AGUILLA SN,N? DEFINIDA,0,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,35347908,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1051464,SERVICIO MUSEO,SMU 861231CF1,C HEROES FERROCARRILEROS NO 63,SANTA MARIA LA RIBERA,6400,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,55660996,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1102194,CIAY DE MEXICO,CARA690703FZ9,AV 602 NO 202,SAN JUAN DE ARAGON,7920,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,31495818,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1106926,ESTACION FUERZA AEREA,SAMG330706538,AV FUERZA AEREA NO 198,AVIACION CIVIL,15740,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,55583947,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1108510,GAS EXPRESS NIETO TLA,GEN 7908272C1,AUT MEXICO PUEBLA KM 24 5,AMPLIACION SANTA CATARINA,13120,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,58601226,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1072476,GAS MILLOALTO,IMI 990318FM3,BLVD JOSE LOPEZ PORTILLO NO657,SAN FRANCISCO TECOXPA,12700,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,56534916,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1111809,OXIFUEL,ROAM681126P22,CARR PIC AJ NO 1758 MZ 21,PARAJE 38,14275,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,86523257,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1113015,GAS GPDC CONSULADO,GES171116D7A,AV RIO CONSULADO NO 2011,VALLE GOMEZ,15210,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,55176579,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1087477,GASOL ALEMAN,AESA721127BF3,OBRERO MUNDIAL NO 133,DEL VALLE,3100,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,55231558,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1132608,INSAGAS,EAGE891003JC7,20 DE NOVIEMBRE MZ 2 LT 32,CARLOS HANK GONZALEZ,9700,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,70967044,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1144634,SHELL LA VIGA,GES171116D7A,CALZ LA VIGA NO 1112,HEROES DE CHURUBUSCO,9090,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,79560528,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1131731,SIMAGASMEX BP,SIM 140903I94,ANTIGUA TAXQUENA 47 C,PARQUE SAN ANDRES,4040,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,56485942,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1132882,GAS GPDC AZCAPOZALCO,GES171116D7A,C SANTO TOMAS NO 11,SAN SEBASTIAN,2040,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,55958495,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1115899,METROGAS CDMX 1,CME 730129A79,C HORACIO NO 1750 INT PB,POLANCO I SECCION,11510,CIUDAD DE MEXICO CDMX,CIUDAD DE MEXICO,51251789,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
