Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
479766,EL TOREO,STS060503826,BLVD JESUS VALDES S NO 2911,EL TOREO,25298,SALTILLO COAH,COAHUILA,44435478,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
488502,GASOL GPO GONZALEZ,GGG 051110SE6,CARR SN PEDRO TORR KM 59 200 S,CENTRO,27800,SN PEDRO COAH,COAHUILA,27722235,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
569251,SERV SIERRA ARTEAGA,SSA 061208EC6,BLVD LOS FUNDADORES KM 8 KM 8,CALIFORNIA,25350,ARTEAGA COAH,COAHUILA,44897570,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
704999,CONFIAMEX GASOLINERAS,CGA 040512569,CALZ ABASTOS NO 170 OTE,ABASTOS,27020,TORREON COAH,COAHUILA,17179323,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
745703,SERV RAMA,SRA 9502011E3,CARR ACUNA KM 2 SN,PIEDRAS NEGRAS CENTRO,26000,PIEDRAS NEGRAS COAH,COAHUILA,87834041,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
505297,COMBUSTIBLES Y LUBRICA,CLS 040113I34,CARR CONSTITUCION 57 NO 385 L,CASTANOS,25870,CASTANOS COAH,COAHUILA,6971933,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
959098,SIBA COMBUSTI Y LUBRIC,SCL060329225,AV IND NO 1208,INDUSTRIAL,25760,MONCLOVA COAH,COAHUILA,66360685,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1014797,PRAXAIR MEGA SALTILLO,PME960701GG0,PERIF LUIS ECHEVERRIA NO 4793,AGUA AZUL,25030,SALTILLO COAH,COAHUILA,44100220,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1058564,GAS CONSER MADERO,CLA030811TS3,CARR TORREON SAN PEDRO 25,FRANCISCO I MADERO CENTRO,27900,FRANCISCO I MADERO COAH,COAHUILA,27732836,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1065648,GAS CENTRO TORREON,CLA 030811TS3,BLVD REVOLUCION NO 1489 A PTE,CENTRO,27000,TORREON COAH,COAHUILA,17168188,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1086036,SARAHGAS MUZQUIZ 2,SAR 0909091Y9,CARR MUZQUIZ ROSITA KM 2 SN,BARRIO EL CUARTEL,26342,CD MELCHOR MUZQUIZ COAH,COAHUILA,1048414,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1089735,SARAHGAS 4,SAR 0909091Y9,BLVD PASEO DE LOS LEONES MZ SN,FUNDADORES,26740,CD SABINAS COAH,COAHUILA,16128419,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1092680,GASOL COOP TORREON,SCA 710416IM4,AV JUAREZ NO 4242,NUEVA CALIFORNIA,27089,TORREON COAH,COAHUILA,17218248,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1083796,SARAHGAS PALAU,SAR 0909091Y9,CARRET MUZQUIZ ROSIT KM275 SN,INFONAVIT,26342,CD MELCHOR MUZQUIZ COAH,COAHUILA,6180200,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1089763,SARAHGAS ROSITA 1,SAR 0909091Y9,CARR 57 SN,LAS FLORES,26832,SN JUAN DE SABINAS COAH,COAHUILA,7983968,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1083793,SARAHGAS MUZQUIZ 1,SAR 0909091Y9,DIAG NINOS HEROES SN,BARRIO EL PANTEON,26344,CD MELCHOR MUZQUIZ COAH,COAHUILA,1048414,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
