Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
1002497,SHELL MZO,AAAK730819D22,BLVD MMH NO 8712,SOLEARES,28219,MANZANILLO COL,COLIMA,3343499,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1027949,COMBUSTIBLES SALAGUA,CSA 100802K24,AV ELIAS ZAMORA V NO3073,SALAHUA,28867,MANZANILLO COL,COLIMA,43571743,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1056012,GASOLINERA LOS OLIVOS,GOL 130523RL6,AV PABLO SILVA GARCIA NO 929,LOS OLIVOS,28982,VILLA DE ALVAREZ COL,COLIMA,21391402,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1097278,GAS CENTRO TECOMAN,SSM 0108045Z2,AUT COLIMA MANZANILLO KM 38,CENTRO,28100,TECOMAN COL,COLIMA,33246141,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1102770,PRAXAIR TDA COLIMA,PME 960701GG0,AV CARLOS D L MADRID B NO 643,EL TECOLOTE,28090,COLIMA COL,COLIMA,23070266,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1071075,GAS PRIMAVERA COLIMA,GAS 060322BI6,3ER ANILLO PERIF NO 151,RINCON DEL BOSQUE,28050,COLIMA COL,COLIMA,23121805,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1091354,GAS TAPEYXTLES MANZANI,GJO 0605094S4,BLVD MIGUEL DE LA MADRID NO302,TAPEYXTLES,28239,MANZANILLO COL,COLIMA,43355590,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1157821,GAS ORO COLIMA,ECE 080117QKA,A COLIMA MANZANILLO S N KM 9,EL MEZQUITE,28627,COLIMA COL,COLIMA,92392771,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1433952,GASOLINERA COMALA,GCO 0103122T6,VENUSTIANO CARRANZA NO 180,AGUAJITOS,28450,COMALA COL,COLIMA,23156073,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2317113,GAS L DE VISTA COLIMA,GAS 011024I41,AV TECNOLOGICO NO 32,COLIMA,28010,COLIMA COL,COLIMA,23234545,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1587435,GAS GRUPO GARSAN PACIF,GGP 040430NB5,MA AHUMADA DE GOMEZ NO 40 L3,SENDEROS DEL CARMEN,28978,VILLA DE ALVAREZ COL,COLIMA,23113833,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2052520,ASA COLIMA 2,ASA6506102U9,DOM CONOCIDO BUENAVISTA MPO SN,BUENAVISTA,28590,CUAUHTEMOC COL,COLIMA,3144160,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1518356,PRAXAIR COLIMA,PME 960701GG0,BLVD CARLOS DE LA MADRID B 645,EL TECOLOTE,28090,COLIMA COL,COLIMA,23070529,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1671437,GASOL CERRO DE ORTEGA,ECO 101201VE4,CARR CER D ORT TECO KM1 MAS100,CERRO DE ORTEGA,28900,TECOMAN COL,COLIMA,1116164,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2242709,PRAXAIR MANZANILLO,PME 960701GG0,MIGUEL DE LA MADRID NO 200 L 2,AEROPUERTO INTERNAC,28860,MANZANILLO COL,COLIMA,43327925,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
3618881,GAS LAS AGUILASVILLA,GOC 050525D70,AV E CORONA MORFIN NO 710,BONFIL ALFREDO V,28979,VILLA DE ALVAREZ COL,COLIMA,23114444,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4041308,GAS EL PORTIN CLAUDIA,PCL070915V5A,KM 31 D LA AUT COLIMA SN,TECOLAPA,28920,TECOMAN COL,COLIMA,31119170,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3873684,GLOBAL GAS MANZANILLO,GME 671220EJ2,CARR KM5 MANZANILLO CAMPO SN,CAMPOS,28809,MANZANILLO COL,COLIMA,43323270,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1183777,GASOLINERA SERV CARGA,SCC 110531U38,LIBRAM COLIMA COQUIMATLAN 550,RESIDENCIAL PRADOS DEL SUR,28078,COLIMA COL,COLIMA,21142292,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4027466,SERVICIO LA IGUANA 1,SIG 990705IC5,BLVD MIGUEL DE LA MADRID 384,TAPEIXTLES,28239,MANZANILLO COL,COLIMA,43364959,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4099803,OXXO GAS LUSAL,SGM 950714DC2,NIGROMANTE NO 102,CENTRO,28000,COLIMA COL,COLIMA,23134810,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4077744,GAS COMERCIAL LIBRAMIE,CLI 0510043F6,C L EJER MEXICANOSUR 552,FRANCISCO VILLA,28063,COLIMA COL,COLIMA,23128923,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1449073,GASOL LA CENTRAL,MCS 080526R90,CARR CIHUATLAN MANZ KM 23 150,EL NARANJO,28868,MANZANILLO COL,COLIMA,1005895,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
