Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
633321,SERV LOMAS DURANGO,SLD911014BNO,CARR MATAMS MZTLAN KM NO 965,LOMAS DEL PARQUE,34100,DURANGO DGO,DURANGO,1300790,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
545087,GASOL SERV MINA,MUTF551004RI9,F J MINA NO 6,SANTA MARIA DEL ORO,35660,EL ORO DGO,DURANGO,5260555,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
706549,SERV AMARO,SAM 9904229C3,IGNACIO ZARAGOZA NO 712,CIUDAD GUADALUPE VICTORIA,34700,GUADALUPE VICTORIA DGO,DURANGO,68813066,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
746834,COMBUS DE DURANGO,CDU 741019GS4,BRUNO MARTINEZ NO 407,VICTORIA DE DURANGO CENTRO,34000,DURANGO DGO,DURANGO,8170118,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
930750,GASOL TOQUERO,TOGP581218HS8,CARR PANAMERI SN,LAS NIEVES,35381,OCAMPO DGO,DURANGO,5470066,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1046635,GASOL JACARANDA,SJA 940827A32,CONSTITUYENTES NO 101,GUADALUPE VICTORIA INFONAVIT,34220,DURANGO DGO,DURANGO,8336727,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1062548,SERVICIO BUEN DIA,BUSA5703237JA,CARR VICENTE GRO SUCHIL KM 12,SUCHIL,34900,SUCHIL DGO,DURANGO,58750695,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1101964,COMBUSTIBLES MIL,DCM 050315UM1,CARR G PALACIO 13 MARZO KM 7,LA POPULAR,35130,GOMEZ PALACIO DGO,DURANGO,17173199,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1085194,SERVICIO TAYOLTITA,STA 071106LU8,C CAMINO TAYOLTITA APTO SN,TAYOLTITA CENTRO,34690,SN DIMAS DGO,DURANGO,48761772,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2052801,ASA DURANGO,ASA6506102U9,DGO GMEZ PALACIOS KM 15 5 SN,AEROPUERTO INTERNACIONAL GENERAL GUADALUPE VICTORI,34319,DURANGO DGO,DURANGO,1187014,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
