Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
568170,SERV INCHAMACUARO,SIN 000117E55,CARR ACAMBARO SALVAT KM 12 SN,INCHAMACUARO,38740,ACAMBARO GTO,GUANAJUATO,74782388,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
625426,DIST GAS NOEL,DGN 811026BU6,BLVD MARIANO ABASOLO SN,LA MORA,36977,ABASOLO GTO,GUANAJUATO,96931698,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
625467,DIST GAS NOEL,DGN 811026BU6,AUTOP QUER LEON KM 138,CALAVERNA,36298,SILAO GTO,GUANAJUATO,27239069,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
625442,DIST GAS NOEL,DGN811026BU6,AV LA CARR PTE SN,CIUDAD INDUSTRIAL,36541,IRAPUATO GTO,GUANAJUATO,26225857,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1015733,GAS RUTA SMA III,DIG 971205KB1,BLVD JOSE MANUEL ZAVALA NO 59,SAN MIGUEL DE ALLENDE CENTRO,37700,SN MIGUEL DE ALLENDE GTO,GUANAJUATO,21956160,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
941880,COMB Y SERVS BLVD,CSB 971203H46,BLVD A LOPEZ MATEOS NO 1008,CENTRO,38000,CELAYA GTO,GUANAJUATO,16157898,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1007172,GAS SERVICIO XIDOO,SXI 0909222R6,FAJA DE ORO NO 504,CENTRO,36700,SALAMANCA GTO,GUANAJUATO,46480068,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1015616,SERV RAMIREZ DE APASEO,SRA 150504JVA,C RODOLFO PINA SORIA 110,APASEO EL GRANDE CENTRO,38160,APASEO EL GRANDE GTO,GUANAJUATO,31583018,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
849976,SUPER SERV LAJA BAJIO,SSL 040309B32,CARR PANA CELAYA APASEO NO 201,LAS DELICIAS,38080,CELAYA GTO,GUANAJUATO,11594925,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004784,SERVIGAS YURIRIA,SER 8202026T3,CARR KM 65 FEDERAL 43,YURIRIA CENTRO,38940,YURIRIA GTO,GUANAJUATO,14455070,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1013191,GAS PLAZA MARIACHI,GARJ5409202P9,FRANCIA NO 507,LA MODERNA,37320,LEON DE LOS ALDAMA GTO,GUANAJUATO,7146077,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1026313,GAS NIETO SALAMANCA,GEN 700527K14,CARR PAN MEX CD JUAREZ KM319 4,EL PIRUL,36740,SALAMANCA GTO,GUANAJUATO,46475959,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1043976,DIESGAS JARIPITIO,DIE 800905HX3,EJIDO JARIPITIO NO 1570,ALDAMA,36810,IRAPUATO GTO,GUANAJUATO,26251010,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1044376,GASOLINERA LA PERLA 1,GPE 000328FY2,CARR57 KM62 5QRO SLP E DR MORA,CENTRO,37980,SN JOSE ITURBIDE GTO,GUANAJUATO,91984047,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1019370,VIGAGAS,VIG 1101071E4,CAM A CERRITO D LAS YERBAS KM1,CERRITO DE LAS YERBAS,38294,VILLAGRAN GTO,GUANAJUATO,11609287,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1029473,GAS EXPRESS NIETO GTO,GEN 700527K14,CARR LIB GTO SILAO KM 7.5,NOCHEBUENA,36265,GUANAJUATO GTO,GUANAJUATO,37318582,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1029629,GAS EXP NIETO SILAO,GEN 700527K14,CARR LEON IRAP LIB NTE NO2270,CENTRO,36100,SILAO GTO,GUANAJUATO,27224545,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1029637,GAS EXP NIETO VAL STGO,GEN 700527K14,C ZARAGOZA NO 77 LETRA D,20 DE NOVIEMBRE,38400,VALLE DE SANTIAGO GTO,GUANAJUATO,66436363,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1041311,ESTACION SERV ARTEAGA,AEAM610222B30,C GUADALUPE MANDUJANO NO516,MANUEL AVILA CAMACHO,38500,APASEO EL ALTO GTO,GUANAJUATO,31660187,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
