Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
863258,GASOL TRUJANO,EST 9603278Z2,CARR IGUALA HUITZUCO KM 18,PADRE JESUS,40160,TEPECOACUILCO DE TRUJANO GRO,GUERRERO,36760625,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1010960,GAS EXPRESS NIETO ZIH,GEN 700527K14,CARR NAC LAZARO C ZIH KM11.200,AGUA DE CORREA,40880,ZIHUATANEJO DE AZUETA GRO,GUERRERO,55447777,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
863399,SERV ALPE,SAL 040727US7,CRR MEXIC ACAPULC KM NO 267 6,TIERRAS PRIETAS,39017,CHILPANCINGO DE LOS BRAVO GRO,GUERRERO,4720309,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1003860,GASOL COSTA DEL SOL,LAME311022MT7,PIE DE LA CUESTA NO 422 L,AGUAS BLANCAS,39589,ACAPULCO DE JUAREZ GRO,GUERRERO,44801462,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1055655,SER COPACABANA,SCO 840806QC4,BLVD DE NACIONES NO 403 LT 54,GRANJAS DEL MARQUEZ,39894,ACAPULCO DE JUAREZ GRO,GUERRERO,44660302,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1055674,GAS PORBA I,IPO 9011086S6,AV EJIDO LT 15 MZ 4 SN,SANTA CRUZ,39530,ACAPULCO DE JUAREZ GRO,GUERRERO,44461275,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1086085,GLOBAL GAS IGUALA,GGC 020430GA8,CARR MEX ACAPULCO KM170 MAS350,BUROCRATA,40090,IGUALA DE LA INDEPENDENCIA GRO,GUERRERO,33328875,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1110319,GRUPO FORTEMEXICO,GFO 040701KX4,CARR CAYACO PTO MARQUEZ SN,PUERTO MARQUES,39890,ACAPULCO DE JUAREZ GRO,GUERRERO,44812722,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1122976,GASOL AC JACARANDAS,ACJ 1208312R1,AV GOBERNADORES NO 46,BUROCRATAS,39090,CHILPANCINGO DE LOS BRAVO GRO,GUERRERO,74947682,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1110729,GAS TRINITY STATION,ESS151019F32,CARR PALOMAS TLAPA SN,LOMA BONITA,41240,XOCHIHUEHUETLAN GRO,GUERRERO,74920364,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
