Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
1010985,ESTACION PROVIDENCIA,ESM 1103027SA,BLVD LA PROVIDENCIA NO 254,PACHUQUILLA,42180,MINERAL DE LA REFORMA HGO,HIDALGO,11450764,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
841023,ESTACION VALLE DORADO,EVD 050430IZ6,BLVD NVO HIDALGO NO 197,VALLE DORADO,42083,PACHUCA DE SOTO HGO,HIDALGO,17114637,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1026199,GAS MITA BONFIL,SMB 120810M73,BLVD RAMON G BONFIL NO 1915,PASEO DE CARMELINAS,42084,PACHUCA DE SOTO HGO,HIDALGO,11380119,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1015677,GASOLINERA HONEY,GAB 040402KL8,CARR ESTATAL SAN PEDRO TL KM10,BARRIO TLACPAC,43720,ACAXOCHITLAN HGO,HIDALGO,67453179,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1035136,SERVICIO VERA,SVE 9510318E9,CARR FED MEXICO TUXPAN KM 84 5,PEDREGAL DE SAN JOSE,43774,STG TULANTEPEC LUGO GRO HGO,HIDALGO,56523990,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1024442,SERVICIO URIBE AJACUBA,SUA 120117A19,AV 16 DE ENERO NO 1,AJACUBA,42150,AJACUBA HGO,HIDALGO,87824149,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1111816,SERVICIO ZATRA,SZA 110718SR9,CARR TECOZAUTLA HUICHAPAN KM 2,HIDALGO CENTRO,42440,TECOZAUTLA HGO,HIDALGO,17335365,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1134029,HUICHAPAN 1,MES 151124794,CARR QRO HUICHAPAN KM 58,LLANO LARGO,42420,HUICHAPAN HGO,HIDALGO,31386938,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1141116,SERVICIO TEHUETLAN,QUBC610721HE5,CARRET TEHUETLAN SN,TEHUETLAN,43011,HUEJUTLA DE REYES HGO,HIDALGO,98962379,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1142720,GAS MODELO DE HIDALGO,PEVD5812296G9,LAZARO CARDENAS NO 1 1,EL OLVERA,42645,SN SALVADOR HGO,HIDALGO,87254558,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1121832,LME ACTOPAN 1,MES 151124794,PROL EFREN REBOLLEDO 344,EFREN REBOLLEDO,42510,ACTOPAN HGO,HIDALGO,21956160,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1121835,LME H2,MES 151124794,CARR LIBRAM HUICHAPAN KM 45 8,ABUNDIO MARTINEZ,42403,HUICHAPAN HGO,HIDALGO,31387691,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1121923,GAS LME TEPATEPEC,MES151124794,CARR ACTOPAN TULA KM 16 5 2,TEPATEPEC CENTRO,42660,FRANCISCO I MADERO HGO,HIDALGO,21956160,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1157366,GAS RUTA MIXQUIAHUALA,SCU 080512296,CARR ACTOPAN TULA KM 28,EL BONDHO,42700,MIXQUIAHUALA DE JUAREZ HGO,HIDALGO,12192109,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1177878,EST SERVICIO TULA,EST 030320GR6,CARR TULA TEPEJI 1 KM 2,EL CARMEN,42830,TULA DE ALLENDE HGO,HIDALGO,31180291,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1184678,LJ MEJIA GAS ACTOPAN,MELL550810LB4,CARR PACHUCA ACTOPAN SN,LA NOPALERA,42163,SN AGUSTIN TLAXIACA HGO,HIDALGO,27270116,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1132685,LME ACTOPAN 6,MES 151124794,CARR MEX LAREDO NTE KM 121 7,CANADA CHICA ANTIGUA,42603,ACTOPAN HGO,HIDALGO,21012633,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1155166,SERVICIO LARA,SLA 990426UQ0,CARR MEXICO LAREDO SN,PLUTARCO ELIAS CALLES SANTIAGO,42344,ZIMAPAN HGO,HIDALGO,97282614,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1155880,LJ MEJIA GAS,MELL550810LB4,CARR JOROBAS TULA KM 25 8,EL LLANO 1A SECCION,42803,TULA DE ALLENDE HGO,HIDALGO,36882506,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1208685,GAS DIESEL INTNAL,DIN 9607176F3,CARR FED MEX TGO KM 62 750 SN,EJIDO GPE STA RITA,43830,ZEMPOALA HGO,HIDALGO,7918232,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1209879,GASOLINERA EMPRESARIOS,ESC 140918G16,AV ACCESO GRUTAS TOLOTONGO SN,SAN CRISTOBAL,42374,CARDONAL HGO,HIDALGO,21222494,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1286133,SERVICIO HUMSAG,SAGH590917TN5,CARR TEZONTEPEC TIN KM 3 SN SN,HUITEL,42771,TEZONTEPEC DE ALDAMA HGO,HIDALGO,31147517,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1154693,LJ MEJIA GAS,TDE 160526FP0,CARR JOROBAS TULA KM 25 8,CARDONAL,42970,ATITALAQUIA HGO,HIDALGO,86882506,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1158996,GAS NIETO TULA HIDALGO,GEN 700527K14,CARR JOROBAS TULA KM 25 8 SN,LOMA DEL BARRIO DEL CARDONAL,42970,ATITALAQUIA HGO,HIDALGO,31429188,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1161596,MER MAC GAS 1,MGA 0811143L7,CARRET TULA TEPEJI KM 0 16,EL CARMEN,42830,TULA DE ALLENDE HGO,HIDALGO,37322478,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1245944,COMBUSTIBLES HR,CHR 150717DY6,CARR PACHUCA TAMPICO KM 86 840,TUZANAPA,43391,SN AGUSTIN METZQUITITLAN HGO,HIDALGO,11458142,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
