Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
579094,EXPRESER GAS,EGA 040413CN9,PROL LAZARO CARDENAS NO 594,LOMAS DE TLAQUEPAQUE,45559,TLAQUEPAQUE JAL,JALISCO,36573719,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
618934,SERV NACIONES UNIDAS,ESN0608308J4,ANILLO PERIF NO 4435,SAN JUAN DE OCOTAN,45019,ZAPOPAN JAL,JALISCO,31101870,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
650358,SERV ANDRADE,SAN7602199Z9,MANDARINA NO 1516,MERCADO DE ABASTOS,44530,GUADALAJARA JAL,JALISCO,36711557,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
650416,GASOL FELIPE ANGE,GFA 710812SR8,FELIPE ANGELES NO 313,PROGRESO,44730,GUADALAJARA JAL,JALISCO,36430346,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
681932,GAS PERIFERICO,GOC 9303301F4,ANILLO PERIF NO 4230,SAN JUAN DE OCOTAN,45019,ZAPOPAN JAL,JALISCO,36323155,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
518480,GASOLINEROS MEXICANOS,GME991201IIA,PERIF NTE NO 4600,BENITO JUAREZ,45199,ZAPOPAN JAL,JALISCO,36953146,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
603779,EST DE SERV ATEQUIZA,ESA050503SS3,AV LAZARO CARDENAS NO 2071,DEL SUR,44920,GUADALAJARA JAL,JALISCO,36102069,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
616383,GAS MARTIN,GMA 930705M73,AV PROL MARIANO OTERO NO 79,EL BRISENO,45236,ZAPOPAN JAL,JALISCO,36124077,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
625715,SERV GASORO,SGA 960719U68,AV LUIS DONALDO COLOSIO 798 SN,LOPEZ MATEOS,48340,PUERTO VALLARTA JAL,JALISCO,2226744,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
643890,SUPER SERVICIO SANTA,SSD 9912135C1,CARR V HGO AGS KM NO 4 7,VILLA HIDALGO,47250,VILLA HIDALGO JAL,JALISCO,9681665,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
650275,SERV BARAJAS,SBA 9101233L3,CARR A CHAPALA KM 20,EL SALTO,45680,EL SALTO JAL,JALISCO,31615647,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
811257,ESTAC SERV ROJEMAR,ESR 020913BW7,AV ROBERTO QUEZADA NO 51,DEGOLLADO,47980,DEGOLLADO JAL,JALISCO,9371900,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
422840,GAS Y SERV QUINTA FED,GSQ 021202L74,FEDERALISMO NTE NO 1710,QUINTA DEL FEDERALISMO,45180,ZAPOPAN JAL,JALISCO,36726706,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
576504,SERV OCCIDENTAL RE,SOR 051125N71,CARR OJUELOS AGS KM 53 2,BETULIA,47504,LAGOS DE MORENO JAL,JALISCO,40746620,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
647529,SERV LA NOGALERA,SNO 930323SN7,LAZARO CARDENAS NO 1142,LA NOGALERA,44470,GUADALAJARA JAL,JALISCO,36662857,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
676312,AUTO GASOL HDA STA FE,AGH 0601315P2,BLVD SANTA FE NO 1000,CONCEPCION DEL VALLE,45653,TLAJOMULCO DE ZUNIGA JAL,JALISCO,10990905,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
494682,SERV MENDEZ IBANEZ,SMI050517J24,JUAN ALVAREZ NO 908,TAMAZULA DE GORDIANO,49650,TAMAZULA DE GORDIANO JAL,JALISCO,4163565,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
530600,TRACTEBEL L CARDENAS,TDG 000626740,LAZARO CARDENAS NO 40,ALAMO,45560,TLAQUEPAQUE JAL,JALISCO,38379600,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
629014,EST DE SERV OMEGA,ESO060516MX4,CAMINO REAL DE COLIMA NO 100,SANTA ANITA,45600,TLAQUEPAQUE JAL,JALISCO,36102069,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
631820,GASOL ORO,GOV 860617TG5,BLV FCO MEDINA ASCE NO 7968,LOS TULES,48333,PUERTO VALLARTA JAL,JALISCO,2211933,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
647602,GAS 18 MARZO,GDM 6906095EA,GONZALEZ GALLO NO 3240,EL MIRADOR ALAMO,44895,GUADALAJARA JAL,JALISCO,36572962,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
725630,SERV TECHALUTA,STE 000228JX7,CRT LIBRE A ACATLAN KM NO 44 5,TECHALUTA,49230,TECHALUTA DE MONTENEGRO JAL,JALISCO,24245071,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004866,GASOL LOS TEPETATES,STE 120210QY4,C LIBRAMIENTO A TEPATI 291,CENTRO,45430,ZAPOTLANEJO JAL,JALISCO,37341862,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1008053,SERV LA ESPERANZA,SSE 120106UEA,HIDALGO NO 808 L,EL GRULLO,48740,EL GRULLO JAL,JALISCO,13870785,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
860619,GASOL OLEODUCTO,GOL 000504V84,PERIF SUR NO 5300,ARTESANOS,45598,TLAQUEPAQUE JAL,JALISCO,36061736,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
914374,SERV LAS PIEDROTAS,SPI 040331G90,AV PATRIA NO 340,LA SOLEDAD,45525,TLAQUEPAQUE JAL,JALISCO,36800538,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
924845,RAGONZVILL GAS,RAG060126770,AV S VAZQUEZ ELIZALDE NO 284,CENTRO,49000,ZAPOTLAN EL GRANDE JAL,JALISCO,4132662,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1009131,PRAXAIR PTO VALLARTA,PME 960701GG0,CARR TEPIC NO 4734,GUADALUPE VICTORIA,48317,PUERTO VALLARTA JAL,JALISCO,22237484,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
965434,SERV PUERTO GUAYMAS,SPG050209CD5,PTO GUAYMAS NO 655,MIRAMAR,45060,ZAPOPAN JAL,JALISCO,31808086,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
997973,GAS EL BATAN ZAPOPAN,SAH 010426U24,KM 3 CARR A SALTILLO NO 35,EL BATAN,45190,ZAPOPAN JAL,JALISCO,36725178,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1010867,GAS SAN JOSE DEL CAST,SSC 0511146V6,AV EL VERDE 35,SAN JOSE DEL CASTILLO,45685,EL SALTO JAL,JALISCO,36889168,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1037444,GASOL PETRO SAN JUAN,PSJ 120420SZ9,BLVD ANACLETO GLEZ F NO 1996,CENTRO,47600,TEPATITLAN DE MORELOS JAL,JALISCO,87812626,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1028834,SERVICIO 54,SSC 101001UZA,BASILIO BADILLO NO 930,TALPITA,44719,GUADALAJARA JAL,JALISCO,36168600,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
