Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
640482,EST DE SERV COMARCA,ESC 030516V17,BLVD I ZARAGOZA NO 153 MZ 43,LOMAS DE SANTIAGO TEPALCAPA,52928,ATIZAPAN DE ZARAGOZA EM,MEXICO,21644582,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
624429,SERV ALISAS,SAL 0004108M8,CARR MES TOLUCA KM 51 PUNTO 2,LERMA DE VILLADA,52000,LERMA EM,MEXICO,82852604,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
735878,SERV MIGUEL ANGEL,SMA 0507189J9,CARR SANTIAGO K17 XALATLACO SN,JALATLACO,52680,XALATLACO EM,MEXICO,1317545,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
822999,SERV SEVILLA,SSE 980310JG6,GUSTAVO BAZ SMZ SN,SAN PEDRO BARRIENTOS,54010,TLALNEPANTLA DE BAZ EM,MEXICO,53175591,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
846295,GASOL PUENTE GRANDE,STN 020920H92,AV 5 DE MAYO NO 9 NIVEL 1,BARRIO TEPANQUIAHUAC,54783,TEOLOYUCAN EM,MEXICO,2033666,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
851956,SERV XOCHIACA,SXO920630NG3,PROL BORDO XOCHIACA SN,TLATELCO,56355,CHIMALHUACAN EM,MEXICO,51117323,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
577742,SERV ORIENTAL,SOR 701112L98,AV LA JOYA NO 17,SAN JOSE MILLAN,54870,CUAUTITLAN EM,MEXICO,58702278,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
604553,SERV EXPRESS ATIZAPAN,SEA 030609N9A,ITALIA MZA 45 SN LTE 1,MEXICO 86,52915,ATIZAPAN DE ZARAGOZA EM,MEXICO,21642310,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
787697,GAS REAL MADEIRA 1,GRM 031203B76,AV CENTRAL SN L1 MZ A,LAS AMERICAS,55075,ECATEPEC DE MORELOS EM,MEXICO,58387439,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
105408,YAG*ATIGASSADECV,ATI110921MZ8,AV LOPEZ MATEOS NO 45,14 DE DICIEMBRE,52977,ATIZAPAN DE ZARAGOZA EM,MEXICO,38897145,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
