Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
595546,SERV MORALES,MORR461119D88,ZARAGOZA NO 2,JUAREZ BENITO,61570,JUAREZ MICH,MICHOACAN,61537049,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
691253,GAS GRUPO PIZANO,GPI 010707L23,CARR MARAVATIO KM 9 SN,MARAVATIO DE OCAMPO,61250,MARAVATIO MICH,MICHOACAN,75963274,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1002209,SERVICIO PONCE,POPF801117GB3,BLVD PURUANDIRO ZINAP KM SN,CENTRO,58500,PURUANDIRO MICH,MICHOACAN,80003830,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004773,SERVIGAS ZAMORA,SER 8202026T3,CARR KM 4 800 ZAMOR BARCA SN,MADERO,59610,ZAMORA DE HIDALGO MICH,MICHOACAN,15170251,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1006405,SERVIGAS SG MORELIA,SER 8202026T3,CARR CAM A LA CANADA KM 0 0,CAMPESTRE,58880,TARIMBARO MICH,MICHOACAN,12953236,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1010688,GAS NIETO LAZARO,GEN 700527K14,AV EJERCITO MEXICANO NO 53,2DO SECTOR FIDEICOMISO,60950,LAZARO CARDENAS MICH,MICHOACAN,35324141,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
879601,GASOL M OCAMPO,GMO 070427519,AV LAZARO CARDENAS NO 847,CENTRO,60950,LAZARO CARDENAS MICH,MICHOACAN,35320007,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1000821,GAS ES SER CAL ES P082,IST 700911FD5,CARR Q PATZCUARO KM 20 SN,ZURUMUTARO,61615,PATZCUARO MICH,MICHOACAN,3423950,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1002254,GASOL AV ATECUARO,GAL 100729IRA,AV ATECUARO NO 200,LOMA LARGA,58095,MORELIA MICH,MICHOACAN,33407782,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004781,SERVIGAS SAHUAYO,SER 8202026T3,CARR KM528 NAL MEX GDL SN,CENTRO,59000,SAHUAYO MICH,MICHOACAN,31529138,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
