Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
843656,ESTACION DE SERV SAN P,VERG511025PM1,C REAL AXOCH ATLACA NO 148,AXOCHIAPAN,62950,AXOCHIAPAN MOR,MORELOS,3512467,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1013381,COMBUSTIBLES OAXTEPEC,COA 021015TT1,AV NAL Z 1 MZ 10 LT 11,SANTA ROSA,62738,YAUTEPEC MOR,MORELOS,55035610,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1024875,GASOL CATTAR,SCA 9301187G3,CARR CUAUTLA AXOCHIAPAN NO 6,SAN MARTIN,62920,TEPALCINGO MOR,MORELOS,93519384,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1019188,GAS SERVICIO TEHUIXTLA,EST 970612211,AV LA FUNDACION SN,TEHUIXTLA,62910,JOJUTLA MOR,MORELOS,43410057,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1067275,COMB CRISAN PALMAS,CCC 120508KK3,AV MOR Y PRIV D LS ROSAS NO104,LAS PALMAS,62050,CUERNAVACA MOR,MORELOS,73142373,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1093457,SERVICIOS SAN MATEO,CAGL760711G40,CARR EMILIANO ZAPATA KM 1 SN,TEMOAC,62870,TEMOAC MOR,MORELOS,13511400,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1108430,GAS EXP NIETO YAU JOJU,GEN 7908272C1,CARR YAUT JOJUTLA KM7,CENTRO,62730,YAUTEPEC MOR,MORELOS,53945700,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1080558,GAS GRUPO COSTERA MORE,GCM111004F28,CARR IZUCAR MATAMOROS KM 90 30,AMAYUCA,62972,JANTETELCO MOR,MORELOS,11020103,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1142582,GASERA VERGELES,ROLJ880906IM0,CARR XOCHIM OAXT SN,CORRAL GRANDE,62738,YAUTEPEC MOR,MORELOS,73156371,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1147227,GAS UNION 3,GUM 1501296B0,ESTACION VIEJA 18,CENTRO VACACIONAL OAXTEPEC,62738,YAUTEPEC MOR,MORELOS,51082333,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1152053,SERVICIO ZEPEDA,ZEHA460112QP7,NARCISO MENDOZA 116,JOJUTLA CENTRO,62900,JOJUTLA MOR,MORELOS,43420835,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1216242,SERV CERRITOS JUITEPEC,SCE 020905GZ9,B CUAUHNAHUAC KM 11 113,CUAUCHILES,62573,JIUTEPEC MOR,MORELOS,71244062,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
