Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
688325,SERV GASORO,SGA 960719U68,C FED TEPIC PTO V 46 KM 146 20,MEZCALES,63738,BAHIA DE BANDERAS NAY,NAYARIT,2965092,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
530550,UNIDAD SERV TRANSPORTE,UST 870305E70,LIB TEPIC KM 1650 CARR MEX NOG,5 DE FEBRERO,63197,TEPIC NAY,NAYARIT,2140627,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
997999,GASOL PENA,SAH 010426U24,CRUCERO DE PENAS SN,CENTRO,63200,TUXPAN NAY,NAYARIT,92323805,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004269,GRUPO GASOLINERO DEL P,GGP 050203P62,AV AGUAMILPA NO 1192,CIUDAD INDUSTRIAL,63173,TEPIC NAY,NAYARIT,12116642,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
793562,SERVICIOS OSNAR,SOS 030818KBA,AV INSURGENTES NO 769 PTE,CENTRO,63000,TEPIC NAY,NAYARIT,12126352,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1037081,SERVICIO GAS BOTADERO,SGC 111213TG9,CARR SANT LOS CORCHOS KM 16,EL BOTADERO,63575,SANTIAGO IXCUINTLA NAY,NAYARIT,32352543,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1051034,GAS LEVAZPER,CLE 131023LU5,C JUAREZ NO 74 PTE,ACAPONETA CENTRO,63430,ACAPONETA NAY,NAYARIT,52523159,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1050676,GAS CAMPO DE GOLF,GOC 9303301F4,CARR FED200 TEPIC PTO V NO1142,FRACC FLAMINGOS,63732,BAHIA DE BANDERAS NAY,NAYARIT,92985082,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1171511,GAS NUEVO VALLARTA,GOC 9303301F4,AV TEPIC SUR NO 1508,NUEVO VALLARTA,63735,BAHIA DE BANDERAS NAY,NAYARIT,22975249,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1133569,SERV GASOLINERO COSTA2,SGC 111213TG9,CARRET FED 15 TEPIC MAZ 53,SAN BLAS CENTRO,63740,SN BLAS NAY,NAYARIT,31130655,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1603984,MULTISERVICIOS AMAYA,MAS 100126ST1,AV TIJUANITA NO 281,SAN ANTONIO,63625,RUIZ NAY,NAYARIT,2332571,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2145167,GAS NAYARABASTOS,GOC 9303301F4,AV INSURGENTES OTE NO 2795,LOS SAUCES,63197,TEPIC NAY,NAYARIT,12115062,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2145191,GAS TECNOLOGICO,GOC 9303301F4,AV TECNOLOGICO NO 2525 OTE,INSTITUTO TECNOLOGICO DE TEPIC,63175,TEPIC NAY,NAYARIT,12145273,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2145142,GAS CENTRO CARRETERO,GOC 9303301F4,LIB TEPIC MAZATLAN NO 48,LAS BRISAS,63117,TEPIC NAY,NAYARIT,12180582,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2145159,GAS INSURGENTES,GOC 9303301F4,AV INSURGENTES OTE NO 1131,LAS AVES,63170,TEPIC NAY,NAYARIT,12145037,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1652973,GAS APOLO GPE VICTORIA,SAP 930708D53,CARR GPE V VILLA HDGO KM 0 600,EL MADRIGALENO,63751,SN BLAS NAY,NAYARIT,12147165,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
