Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
402198,SERV VIC MAR TEPEYAC,SVM030217LR6,AV LUIS DONALDO COLOSIO NO 210,TEPEYAC,66366,SANTA CATARINA NL,NUEVO LEON,83166167,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
440156,GASOL ZARI LAS TORRES,OZA010405F60,ALFONSO REYES NO 3500,QUINCE DE SEPTIEMBRE,64760,MONTERREY NL,NUEVO LEON,83584007,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
711325,GASOL CHAPULTEPEC,GCA 941025817,SN NICOLAS NO 110 ESQ ARBOLEDA,CUAUHTEMOC,66450,SN NICOLAS DE LOS GARZA NL,NUEVO LEON,83765425,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
711770,GASOL CHAPULTEPEC,GCA 9410258I7,ACAPULCO NO 400 L A,BALCONES DE SAN MIGUEL,67114,GUADALUPE NL,NUEVO LEON,83874026,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004438,DRGAS,DGA 0008309T4,AV COLON OTE 2520,ACERO,64580,MONTERREY NL,NUEVO LEON,19991777,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1010831,MULTISERVICIOS SENDERO,MSE 040915846,C SENDERO ANCHO NO 1000,MIGUEL HIDALGO,65244,SABINAS HIDALGO NL,NUEVO LEON,42424561,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1016204,CARBURANTES ACUEDUCTOS,CAC 0908215I5,AV ACUEDUCTO NO 260,SANTA JULIA,66376,SANTA CATARINA NL,NUEVO LEON,80591204,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1007377,PRAXAIR ESCOBEDO,PME 960701GG0,CARR A COLOMBIA NO 400,EX HACIENDA EL CANADA,66054,GRAL ESCOBEDO NL,NUEVO LEON,83842314,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1041774,GAS EXPRESS NIETO MTY2,GEN 700527K14,CARR SALTILLO NO 1600,PUERTA DEL SOL,66358,SANTA CATARINA NL,NUEVO LEON,83086949,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1034583,GAS GOSACO,GOS130118UP4,CRR MONTERREY COLOMB KM 20 SN,SALINAS VICTORIA,65500,SALINAS VICTORIA NL,NUEVO LEON,82370763,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1042790,GAS EXPRESS NIETO MTY1,GEN 700527K14,RECTANGULOS NO 211,CIUDAD INDUSTRIAL MITRAS,66023,GARCIA NL,NUEVO LEON,83810101,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1047726,PRAXAIR TORRES MORADAS,PME 960701GG0,BLVD DIAZ ORDAZ NO 140 P14 T2,SANTA MARIA,64650,MONTERREY NL,NUEVO LEON,81244800,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1061054,GAS NVO MIL BERN REYES,GNM 020729FI0,PROL BERNARDO REYES NO 6765,TOPO CHICO,64260,MONTERREY NL,NUEVO LEON,83760115,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1099703,RAM GAS 3,UIJJ9303288G4,ENTRONQUE CARR STA MARIA SN,SANTA MARIA DE RAMOS,67864,GALEANA NL,NUEVO LEON,62130446,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1102673,TIENDA MTY CENTRIKA,PME 960701GG0,AV VICENTE GUERRERO NO 2411,CENTRIKA 2 SECTOR,64520,MONTERREY NL,NUEVO LEON,83720531,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1083685,GAS CAMPANITA,GCA 740122352,AV BENITO JUAREZ NO 790,LA HUERTA,67144,GUADALUPE NL,NUEVO LEON,22308551,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1151847,GAS GYBSACO BP,GYB010830NT7,ANTIGUO CAM A MINERA NTE 200,CARDENAS LAZARO,66350,SANTA CATARINA NL,NUEVO LEON,83885011,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1140095,PRAXAIR PLANTA NOGALAR,PME 960701GG0,AV DE LA JUVENTUD NO 614 NTE,INDUSTRIAL NOGALAR,66484,SN NICOLAS DE LOS GARZA NL,NUEVO LEON,83294983,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1200142,GAS EXPRESS ALLENDE,GEN 700527K14,CARR ALLENDE CADEREYTA KM 1 3,EL CERRITO,67353,ALLENDE NL,NUEVO LEON,62687575,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
