Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
111916,SERV MURCIO GARCIA,MUGM721021CD5,CARR YUCUDAA KM 56,ADMON DE CORREOS TLAXIACO,69800,HEROICA CD DE TLAXIACO OAX,OAXACA,31021330,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1009050,PRAXAIR LINTON S CRUZ,PME 960701GG0,CALZ A LA REFINERIA SN,GUERRERO VICENTE,70610,SALINA CRUZ OAX,OAXACA,17162898,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1026147,SERVICIO MACIEL,MAMA6705101UA,CARR AMATE COSOLAPA KM 21,JOLIETTE,68422,ACATLAN DE PEREZ FIGUEROA OAX,OAXACA,47580580,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1039184,GAS MARTINIANA,RMA 1411283XA,CARR INTNAL KM 6 5 SN,GALEANA,70180,SN PEDRO TAPANATEPEC OAX,OAXACA,41805045,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1025389,SERVICIO SAN FRANCISCO,MAMA6705101UA,CARR AMATE COSOLAPA KM 18 5,JOLIETTE,68422,ACATLAN DE PEREZ FIGUEROA OAX,OAXACA,47580009,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1044348,GASOL DIAMANTE,GSU 030220951,AV HORNOS NO 795,SANTA LUCIA DEL CAMINO,71240,SANTA LUCIA DEL CAMINO OAX,OAXACA,11332123,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1025668,GAS SILACAYOAPAM,GSU 030220951,KM 25 5 CARR IXPANTEPEC N S SN,SILACAYOAPAM,69400,SILACAYOAPAM OAX,OAXACA,31240084,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1061200,GASOLINERA T ESTACION,TES131125PQ3,C CAM ANT A SN J AMILPAS NO127,JARDINES DE LA PRIMAVERA,68285,SN JACINTO AMILPAS OAX,OAXACA,12246016,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1047781,GASOL BONITA,GSU 030220951,PROL DE CALZ DE LA REP NO 300,LA CIENEGUITA,68127,OAXACA DE JUAREZ OAX,OAXACA,15034837,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1095229,ESTACION MANZANO,EMA 170914KS5,CARR PINOTEPA ACAPULCO KM 2 SN,AVIACION,71605,SANTIAGO PINOTEPA NAC OAX,OAXACA,45432567,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1082951,LUB Y EXP EN BATER XOX,VECA730703R98,C JERUSALEN NO 119,PALESTINA,71230,SANTA CRUZ XOXOCOTLAN OAX,OAXACA,15173923,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1082953,LUB Y EXP EN BATER PN,VECA730703R98,CARR INTERNACIONAL NO 1,PUEBLO NUEVO,68274,OAXACA DE JUAREZ OAX,OAXACA,11322279,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1070247,OXIGAS CONSTITUYENTES,REPA8110097K9,AV CONSTITUYENTES NO 108,GUADALUPE VICTORIA,68033,OAXACA DE JUAREZ OAX,OAXACA,11333804,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1081137,LUBRICANTES CASTANEDA,RAMN870530837,AV FERROCARRIL NO 85 A,SAN SEBASTIAN TUTLA,71320,SN SEBASTIAN TUTLA OAX,OAXACA,15177096,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1113771,GASOL SERV FRESMAR,TOVG741116D40,CARR MARISCALA FRESN KM 1 3,FRESNILLO DE TRUJANO,69210,FRESNILLO DE TRUJANO OAX,OAXACA,35386382,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1130476,EST DE SERVICIO ETLA 1,ESE 080227SW0,CARR OAXACA MEX ESQ LA JOYA SN,LA JOYA,68263,SN LORENZO CACAOTEPEC OAX,OAXACA,12513436,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1159857,GAS SR DE TLACOLULA,STL 140123984,CARRET INTERNACIONAL KM 31 SN,TLACOLULA DE MATAMOROS CENTRO,70400,TLACOLULA DE MATAMOROS OAX,OAXACA,14273889,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1116225,GASOLINERA SNGUILLERMO,CUOG7906253C2,IGNACIO ZARAGOZA 8,IGNACIO ZARAGOZA,71143,SN MIGUEL EL GRANDE OAX,OAXACA,31267774,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1117941,EST DE SERVICIO ETLA,ESE 080227SW0,EPIFANIO CRUZ ESPINOSA 1 LT 3,SANTIAGO ETLA,68264,SN LORENZO CACAOTEPEC OAX,OAXACA,11437478,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1189749,EST DOCADI 2,ESD 1509104M3,CARR PINOT SALINA CRUZ 200 K,SAN JOSE DEL PROGRESO,71803,VILLA TUTUTEPEC MELCHOR O OAX,OAXACA,45436610,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1203044,GAS ESPIRITU SANTO,ESE 190221F99,C CACALTPEC H POB JUQUILA SN,TIERRA BLANCA,70282,TAMAZULAPAM DEL ESP SANTO OAX,OAXACA,85967700,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1206909,COM SERV OTP,CSO 8402084H9,AVE TAMPICO LT SN,CANTARRANAS,70680,SALINA CRUZ OAX,OAXACA,17140239,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1121231,GAS BRIGADA DEL MARQUE,AAAH520312HC7,CARR S PIN N S L C KM 382 M700,SALINA DEL MARQUES,70704,SALINA CRUZ OAX,OAXACA,11286598,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1213079,COMBUSTIBLES SAN MATEO,CSM 100223NY7,CARR FED S M TLACOTEPEC X KM88,SAN MIGUEL TLACOTEPEC,69730,SN MIGUEL TLACOTEPEC OAX,OAXACA,35540342,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1220259,GASOLINERIA VICTOR R O,GVR 100706197,CARR MITLA MIXES KM 1,LOS PRESIDENTES,70430,SN PABLO VILLA DE MITLA OAX,OAXACA,11460478,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1155934,EST SERV ZAPOTECOS,ESZ 0012146D7,DOMICILIO CONOCIDO SN,SANTA MARIA LACHIXIO,71430,SANTA MARIA LACHIXIO OAX,OAXACA,12056495,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1317076,GAS SERVICIO BERLES,SBE960403GY2,COST PINOTEPA PTO ESC KM 63 SN,EL GACHUPIN,71806,VILLA TUTUTEPEC MELCHOR O OAX,OAXACA,41269253,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1219527,GAS SR DE TLACOLULA,STL 140123984,CARRET INTERNACIONAL KM 31 SN,FRANCISCO IRIGOYEN,70400,TLACOLULA DE MATAMOROS OAX,OAXACA,14273889,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1305139,GASOL SANTA ROSA,GAS190626NS2,CARR INTNAL C COLON 259 SN,SANTA ROSA PANZACOLA,68039,OAXACA DE JUAREZ OAX,OAXACA,15491088,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
