Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
718551,SERV MECAPALAPA,SME 030904H40,CONOCIDO SN,MECAPALAPA,73029,PANTEPEC PUE,PUEBLA,68811090,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
877233,GASOL INOVASION CHOLUL,GIN0205135L0,17 PTE NO 1128,CHOLULA DE RIVADABIA,72760,SN PEDRO CHOLULA PUE,PUEBLA,1690400,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
924662,CMA000407SU9 GAS,CMA 000407SU9,CARR ORIZABA PUE KM 202 700 SN,CUACNOPALAN,75515,PALMAR DE BRAVO PUE,PUEBLA,97742067,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1000710,ENERGETICOS SAN JUAN,ESJ 980806EL4,CARR FED VIA XALAPA DEP7 KM5 5,SAN JUAN ACOZAC,75410,LOS REYES DE JUAREZ PUE,PUEBLA,94260970,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1025265,GASOL SERV TEPEACA,ETE 031210P68,C 4 SUR NO 505,TEPEACA,75200,TEPEACA PUE,PUEBLA,2752825,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1044979,GASGLOBAL RESURRECCI,GGC 020430GA8,KM 128 400 CARR PUEBLA ORIZABA,VILLA MARUCA,72220,PUEBLA PUE,PUEBLA,22436581,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1025580,ENERGETICOS SAN JOSE,ESJ 011107J44,AUT TEPEACA KM 1 2,SAN JOSE CARPINTEROS,75205,TEPEACA PUE,PUEBLA,32752825,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1038219,ENERGETICOS ARCO KM158,EAR 080402RD9,AUT MEX CORDOBA KM 158 282,TEPEACA CENTRO,75200,TEPEACA PUE,PUEBLA,32752825,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1039758,GASOL SERV COMA PROSA,ECO 080402MZ0,AUT MEX CORDOBA KM 1584 SN,TEPEACA,75200,TEPEACA PUE,PUEBLA,4260970,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1029477,DIGEPE TECAMACHALCO,DIG 971205KB1,C S SAN MATEO TLAIXP KM NO 1,ADMON DE CORREOS TECAMACHALCO,75482,TECAMACHALCO PUE,PUEBLA,4220341,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1033750,GAS EXP NIETO HUEJOTZI,GEN 7908272C1,CAMINO AL AJAL SN,REAL DE HUEJOTZINGO,74160,HUEJOTZINGO PUE,PUEBLA,72762200,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1018873,GAS SAN DIEGO CHOLULA,GSD 1109194I5,PROL C 6 NTE NO 3818,SAN DIEGO LOS SAUCES,72760,SN PEDRO CHOLULA PUE,PUEBLA,25058164,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1042960,SERV LIBR AHUACATLAN,EAH 130403BZ8,LIBRAMIENTO BICENTENARIO NO 46,AHUACATLAN,73330,AHUACATLAN PUE,PUEBLA,47633263,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
