Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
771303,TRACTEBEL DGQ,TDI 660211CR7,BLVD B QUINTANA NO 4100 LM01YM,ALAMOS 3A SECCION,76160,SANTIAGO DE QUERETARO QRO,QUERETARO,2462487,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
108276,SERV LA SIERRITA,AAMS840906UR9,CARR SAN JUAN DEL RIO KM 215,LA VUELTA,76382,LANDA DE MATAMOROS QRO,QUERETARO,12548204,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
691295,GASOL DONA PURE,GDP 020318997,CARR FED SJR X LT KM 48 5 SN,LOS LLANITOS,76500,CADEREYTA DE MONTES QRO,QUERETARO,12760101,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1001818,GAS EXPRESS NIETO TEQ,GEN 700527K14,KM27 200 CARR SJR XILITLA SN,ADOLFO LOPEZ MATEOS,76750,TEQUISQUIAPAN QRO,QUERETARO,42730775,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1001819,GAS EXPRESS NIETO SJR,GEN 700527K14,ING LUIS ROMERO SOTO NO 21,CENTRO,76800,SN JUAN DEL RIO QRO,QUERETARO,72720004,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1021899,GAS RUTA LA NORIA,SGR 000807PD9,AUT FED 57 MEX QRO B KM199 860,VILLAS LA CANADA,76240,EL MARQUES QRO,QUERETARO,21690205,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1025407,PRAXAIR PTA QUERETARO,PME960701GG0,C 3 NO 3 LT 27,BENITO JUAREZ,76120,SANTIAGO DE QUERETARO QRO,QUERETARO,23095450,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1082192,GAS BAEZA,BAE731127RB4,AV DEL SOL NO 1000,EL SOL,76113,SANTIAGO DE QUERETARO QRO,QUERETARO,21481493,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1095148,SERV GASOLINERO EST,SGE 031126CQ3,KM 18 MAS 200 CARR AMEA TEMAZ,SAN ANTONIO SAN BARTOLO,76884,AMEALCO DE BONFIL QRO,QUERETARO,81772335,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1087412,PRAXAIR QUERETARO,PME 960701GG0,C 3 3,BENITO JUAREZ,76120,SANTIAGO DE QUERETARO QRO,QUERETARO,23095450,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
