Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
1032723,COMBUSTIBLES PAGOMAJO,CPA 10042735A,SMZ 532 MZ 91 L 24,CHICHEN ITZA,77514,CANCUN QROO,QUINTANA ROO,88996173,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1053438,GASOLI LA CRUZ DE SERV,GCS 070824FJ1,AV KANTENAH MZA 1 SM 63 SN,CRUZ DE SERVICIOS,77723,SOLIDARIDAD QROO,QUINTANA ROO,48831875,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1052984,ESTACION SEVILLA,ESS 070306HF4,CARR FED CARRILLO P KM NO 307,CIUDAD PLAYA DEL CARMEN,77710,SOLIDARIDAD QROO,QUINTANA ROO,48831875,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1060748,GASOL GLADIOLAS,IGL 030626AN1,AV TULUM OTE MZA 6 LT 2 Y 3 SN,VILLAS TULUM,77764,TULUM QROO,QUINTANA ROO,48831875,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1096957,GAS 8 DE OCTUBRE PTO M,CSQ 780524D56,KM327 CARR CAN CHE SMZ17 MZ14,PUERTO MORELOS,77580,PUERTO MORELOS QROO,QUINTANA ROO,8710237,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1158294,ESGES MAHAUAL,ESG 000418CS4,CARR CAFETAL MAHAUA KM 500 300,XCALAK,77940,BACALAR QROO,QUINTANA ROO,8345799,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1202270,TURBOGAS REGION,TGA 170929AH7,IXIL MZ 28 LT3,SUPERMANZANA 97,77530,CANCUN QROO,QUINTANA ROO,36257026,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1202269,TURBOGAS TINTAL,TGA 170929AH7,AUTOPISTA KM 234 600 SN,EL TINTAL,77366,LAZARO CARDENAS QROO,QUINTANA ROO,36257026,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1156892,SERV JAZMIN,SJA 050513UE7,CARR FED CHETUMAL P KM NO 328,PUERTO MORELOS,77580,PUERTO MORELOS QROO,QUINTANA ROO,88831875,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1202271,TURBOGAS BELLAVISTA,TGA 170929AH7,C 25 SUR MZ 486 LT 1,BELLAVISTA,77712,SOLIDARIDAD QROO,QUINTANA ROO,41660075,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
