Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
780593,SERV SANTA GERTRUDIS C,SSG 931029DM2,BLVD R NIETO COMPEAN KM 1 14 P,ADMON DE CORREOS CERRITOS,79402,CERRITOS SLP,SAN LUIS POTOSI,68615048,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
680637,GASOL ENERGET TANQUIAN,ETA 980904EE0,CARR XOLOL TAMUIN NO 37,TANQUIAN DE ESCOBEDO,79840,TANQUIAN DE ESCOBEDO SLP,SAN LUIS POTOSI,3882454,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1018582,GAS EL PUENTE 2,CLP 9802284TA,CARR TAM BARRA DE NAVID KM167,COMUNIDAD EL NARANJO,79852,TAMPAMOLON CORONA SLP,SAN LUIS POTOSI,93660019,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1026444,SERVICIOS GASOLINEROS,SGE 100504UN3,AV MANUEL GOMEZ MORIN NO 1396,GRANJAS LA ESTRELLA,78117,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48230055,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1026016,RAYO GAS,RGA 080602AV3,CARR A RIO VERDE NO 2204,LOS GOMEZ,78438,SOLEDAD DE GRACIANO SCHEZ SLP,SAN LUIS POTOSI,42119746,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1078063,COSTCO GAS SLP,CGA 160215952,AV CHAPULTEPEC NO 200,FRACC COLINAS DEL PARQUE,78294,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48341600,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1128603,GASOLINE,GAS 131029MQ8,LATERAL CARR MATEHUALA NO 303,16 DE SEPTIEMBRE,78430,SOLEDAD DE GRACIANO SCHEZ SLP,SAN LUIS POTOSI,48547199,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1094073,TANQUES Y SERV SLP,RULA740803MV1,MALINCHE NO 590,5 DE MAYO,78360,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48216239,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1284216,SER07789 ARELLANO MATA,AMA 011205590,CARR SALITRAL DE C EL ZA 100,SALITRAL DE CARRERAS,78680,VILLA DE RAMOS SLP,SAN LUIS POTOSI,21594089,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1188823,ENERGETICOS DEL PUERTO,EPR 140812ER4,AV MIGUEL HIDALGO 17,CRUCERO DE RAYON,79740,RAYON SLP,SAN LUIS POTOSI,78770953,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1734219,GASOL ARAIZA,CAR 920508NT6,PEDRO MORENO NO 909,SAN JUAN,78170,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48141114,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1736255,GASOL 18 MARZO,CLP 681001CD2,AV SCOP NO 805,BUROCRATA,78270,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48132356,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2278307,GAS BARRIO DE SN LUIS,KOP 940610D11,AV MOCTEZUMA NO 1090,TLAXCALA,78038,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48145663,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1312369,GASPASA GAS NATURAL,LEN170529295,CARR A ZACATECAS 1891,EL SAUCITO,78110,SN LUIS POTOSI SLP,SAN LUIS POTOSI,23391630,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1772052,GASOL GUERRA MOTORS,GMO 5204161Q6,20 DE NOVIEMBRE NO 1825 L,TLAXCALA,78038,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48123353,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2230654,PRAXAIR SLP PLANTA,PME960701GG0,BENITO JUAREZ NO 1595,ANAYA RICARDO B 1A SECCION,78396,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48316360,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2375863,COMB CASTILLA CD FDZ,CCA 020122E4A,MORELOS ESQ BLVD NO 935,CIUDAD FERNANDEZ,79650,CD FERNANDEZ SLP,SAN LUIS POTOSI,78714303,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2055416,ASA SAN LUIS POTOSI,ASA6506102U9,CARR A MATEHUALA KM 9 5 SN,APTO INT PONCIANO ARRIAGA,78341,SN LUIS POTOSI SLP,SAN LUIS POTOSI,8184312,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4003486,ENERGETICOS DE TAMAZUN,ETA 990819RN1,CARR ORIZATLAN HGO KM 2.7,SAN ISIDRO,79960,TAMAZUNCHALE SLP,SAN LUIS POTOSI,33618141,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4014776,GASOLINERA EL PUENTE,CLP 9802284TA,AV HIDALGO PTE 750,EL MECO,79310,EL NARANJO SLP,SAN LUIS POTOSI,23660019,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4014780,GASOLINERA EL PUENTE 2,CLP 9802284TA,AV HIDALGO PTE 750 INT 2,EL MECO,79310,EL NARANJO SLP,SAN LUIS POTOSI,23660019,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2263093,GAS FRACC CUITSAN LUI,KOP 940610D11,AV SALVADOR NAVA NO 3200,BUROCRATA,78270,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48338154,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3860889,SERVICIOS LOS POCITOS,SRE 0310245S1,CARR 57 KM 14 5,LOS POCITOS,78800,MATEHUALA SLP,SAN LUIS POTOSI,88824459,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2321933,GAS SN ANGEL SN LUIS P,EIMF4102173X1,CARR SAN LUIS TORREON KM 5 447,SAN ANGEL,78129,SN LUIS POTOSI SLP,SAN LUIS POTOSI,8235115,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4063476,AEROGAS GUADALCAZAR,ASL 0112182H9,CARR CAR FED 80 KM 33 300 SN,RANCHO NUEVO,78895,GUADALCAZAR SLP,SAN LUIS POTOSI,68046019,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4032204,GAS TOMZA DE MEX SLP,GTM 020909DJ2,CARR A PENASCO KM 4 300,RINCONADA,78414,SN LUIS POTOSI SLP,SAN LUIS POTOSI,44117690,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4004256,EUROGAS,ESL 9811129X8,CARR SN LUIS P MEXICO NO 2290,CAPRICORNIO,78399,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48423222,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4065831,GASORED VENADO 2,COM 071220BU9,CARR VENADO MOCTEZUMA KM 150,VENADO,78920,VENADO SLP,SAN LUIS POTOSI,68547710,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1190460,GAS SOLANO,CBT 0804088W9,CAMIN VECINAL SN PABLO OJO SN,LA REFORMA,79675,CD FERNANDEZ SLP,SAN LUIS POTOSI,71124411,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4015163,SERV COMBUSTIBLES 22,CLP 9802284TA,CARR CD VALLES NARANJO KM 0,LA HINCADA,79236,CD VALLES SLP,SAN LUIS POTOSI,13660019,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4088734,GASOLINE,GAS 131029MQ8,CARR 57 KM 4 MATEHUALA 860,EXPROPIACION PETROLERA,78430,SOLEDAD DE GRACIANO SCHEZ SLP,SAN LUIS POTOSI,48547199,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4092648,GAS LEONCITO,SLE 0008119V5,CARR SL RIO V KM 251 010,VILLA DE POZOS,78421,SN LUIS POTOSI SLP,SAN LUIS POTOSI,48376513,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
