Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
715987,SERV LOPEZ,LOGK720913G16,CARR MEX TIJ KM 16 5,LAS BRISAS,81186,GUASAVE SIN,SINALOA,77327511,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
529040,GASOL ASOC DE AGRIC DE,AAR4208089Q6,MANUEL RIVAS SN,OBISPO,80491,CULIACAN SIN,SINALOA,77245313,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
598516,GASOL LA PIEDRERA BELZ,ASP 950315SS7,BLVD ROSENDO G CASTRO NO 502,BIENESTAR,81280,AHOME SIN,SINALOA,88121605,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
706507,GASOL ESTACION BACHOCO,EVA 0410137C8,C SEIS NO 33,BACHOCO,81119,GUASAVE SIN,SINALOA,8980494,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1007937,GAS CACES,CSC 040529P12,CARR LA BRECHA NO 197,LA BRECHA,81190,GUASAVE SIN,SINALOA,78860100,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1002327,GASOLI Y SERVI AGUILAR,GSA 9308124V8,CARR NAVOLATO BACH NO 3365 PTE,EL LIMONCITO,80370,NAVOLATO SIN,SINALOA,7272222,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1004719,GAS SERBASAN,UIBC550825H39,CARR REFORMA A GATO DE LARA SN,LA REFORMA,81680,ANGOSTURA SIN,SINALOA,77330300,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1013536,GASOL CARBEL 2,GCA 0608235A9,PAS D L AGRICULTORES NO 974,LA AMISTAD,80249,CULIACAN SIN,SINALOA,77621542,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1002383,GASOLINERA REVI MEX,RME 971021QN1,CALZ APTO NO 7598,BACHIGUALATO,80140,CULIACAN SIN,SINALOA,77161332,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
957209,GASOL LOOC,GLO 0407012ZA,AV 8 NO 97 ENTRE C 8 Y 7,OCORONI,81960,SINALOA SIN,SINALOA,8840490,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1016585,GAS VINEDOS,CSV 101012NU6,ANTONIO ROSALES NO 2550,MIGUEL HIDALGO,81210,AHOME SIN,SINALOA,88152146,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1029257,GASOL LA 20,MCL 130410EX6,DE LOS CONSTITUYENTES NO 2767,INDUSTRIAL EL PALMITO,80160,CULIACAN SIN,SINALOA,7143051,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1042628,GAS ADOLFO RUIZ COGUA,MPI 020923F48,BENJAMIN HILL NO 73,CAMPESTRE VALLE,81121,GUASAVE SIN,SINALOA,78900210,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1025861,SERV BAHIA STA MARIA,UIBC550825H39,C LUIS ECHEVERRIA ALVAREZ SN,EL PITAHAYAL,81189,GUASAVE SIN,SINALOA,78700034,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1031318,GASOL RUBIOS SUC ARCO,RUVS800927JU0,CARR ARROYO OCORONI NO 1,EL RASTRO,81910,SINALOA SIN,SINALOA,78750918,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1031992,GASOL PETROLERAS NORTH,SPN121226C63,JOSE LIMON NO 931 G,JUNTAS HUMAYA,80050,CULIACAN SIN,SINALOA,1000543,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1040916,REALGAS CENTENARIO,ASP 950315SS7,BLVD CENTENARIO NO 2550 PTE,FOVISSSTE 3,81233,AHOME SIN,SINALOA,88130106,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1021682,GASOL COSTERITA FLORES,SGC 060919PA9,LIB BENITO JUAREZ 5088,LAS FLORES,80104,CULIACAN SIN,SINALOA,71708004,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1031548,SERV ESCOSERRA EL TREB,SET 060419257,NINOS HEROES NO 356,CENTRO,80000,CULIACAN SIN,SINALOA,77129458,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1045155,GAS EL CAMICHIN,SCA 9805218J8,TRAMO PERIC BADIRAG KM NO 33 5,BADIRAGUATO,80500,BADIRAGUATO SIN,SINALOA,7410036,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1047112,REALGAS LEYVA,ASP 950315SS7,G LEYVA NO 1300 SUR,INSURGENTES,81280,AHOME SIN,SINALOA,88167000,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1049308,GAS LA ROSCA,CAAR560730D62,C JESUS RODRIGUEZ NO 576 PTE,BENITO JUAREZ,81450,SALVADOR ALVARADO SIN,SINALOA,37341380,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1068274,SERVICIO AGUILAR 2,PIVP5804156E5,C BRUNO B GARCIA SN,ALFREDO V BONFIL,81980,SINALOA SIN,SINALOA,78740106,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1070091,GAS GRUPO ASTORGA,AOHO480705AQ9,C SN NOMBRE Y BLVD FUERTE SN,EL FUERTE,81820,EL FUERTE SIN,SINALOA,81087380,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1043069,GASPASA CULIACAN,GPA 790523GV6,BLVD EMILIANO ZAPATA SN,LOS PINOS,80128,CULIACAN SIN,SINALOA,77173030,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1062996,GAS EXPRESS NIETO MOCH,GEN 700527K14,CARR LOS MOCHIS ATOPOL KM 14 5,MORELOS,81290,AHOME SIN,SINALOA,88181001,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1070032,GASOLINERA ASTORGA,AOHO480705AQ9,C SIN NOMBRE SN,SAN BLAS,81800,EL FUERTE SIN,SINALOA,81087380,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1079855,SERVIEXPRESS COSALA,GIC 060907GB8,AV SIERRA MOJADA NO 75,COSALA,80700,COSALA SIN,SINALOA,69650735,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1080687,GAS RUBIOS SINALOA,GRU 080522T7A,C ARROYO OCORONI NO 1,SINALOA DE LEYVA CENTRO,81910,SINALOA SIN,SINALOA,78750918,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
