Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
437046,SERV Y LUBRIC FORGAS,SLF 0403302C4,C TABASCO SN,CIUDAD OBREGON CENTRO,85000,CD OBREGON SON,SONORA,34146633,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
654954,GAS CENTRO NAVOJOA,SRM 761015NTA,PESQUEIRA Y GALEANA SN,CENTRO,85800,NAVOJOA SON,SONORA,24221112,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
776906,GAS ARIZPE,ARI 0006019U3,AV OBREGON ESTE FINAL SN,BACOACHI,84680,BACOACHI SON,SONORA,53345095,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
839217,GASOL FORNES,GFO 0706297J2,C GUERRERO SN,CD OBREGON CTRO FUNDO LEGL,85000,CD OBREGON SON,SONORA,44152628,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
416644,GAS EMPRESAS BAM LUE,EBA0707095R7,CARR AL DESEMBOQUE KM 61,CALLES PLUTARCO ELIAS,83734,CABORCA SON,SONORA,73712049,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
758201,ESTACION SERV CAPITAN,ESC 970422BD5,BLVD FCO EUSEBIO KINO NO 506,PITIC,83150,HERMOSILLO SON,SONORA,22107357,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
958264,GASOL CASTILLO,GCF 020917D54,BENITO JUAREZ NO 160 L,PUERTO PENASCO,83550,PTO PENASCO SON,SONORA,83832399,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1006561,GAS SOL DEL COLORADO 4,SCO 001108RM2,AV NUEVO LEON Y CALLE 17 1608,FEDERAL,83489,SN LUIS RIO COLORADO SON,SONORA,35344602,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1011849,GAS NOGALES SUR,OFC 960320UX2,PROL ALVARO OBREGON 4106,CALIFORNIA,84094,NOGALES SON,SONORA,11411588,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1000243,HERMOGAS,HER 050308583,CARR A KINO KM14 5 SN,LA MANGA,83220,HERMOSILLO SON,SONORA,22361410,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1009008,DIESGAS UNIDAD 658 A,DIE 800905HX3,CARR A SAHUARIPA KM 7 180 2102,PARQUE INDUSTRIAL HERMOSILLO,83299,HERMOSILLO SON,SONORA,22088901,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1013907,SERVICIO LA CANDELARIA,ASC 000829GY2,BLVD ANTONIO QUIROGA NO 394,TIERRA COLORADA,83116,HERMOSILLO SON,SONORA,21091870,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1015225,GASOL POWER GAS,PGA 0211289Q0,BLVD ENRIQUE MAZON L 724,CAFE COMBATE,83165,HERMOSILLO SON,SONORA,21091870,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
