Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
1018728,GASOLINER EST SER 1050,SSF 930129DW2,AV EJIDO NO 169,ARENAL,86750,CENTLA TAB,TABASCO,33321222,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1017633,GASOL SAN CRISTOBAL,DPO 6807203T7,CARR VHSA ESCARC KM136,CHABLE,86983,EMILIANO ZAPATA TAB,TABASCO,43481211,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1034490,SERV VILLACUAUHTEMOC,SCV 0201036D5,AV DE LA CHONTALPA SN,VILLA BENITO JUAREZ,86480,CARDENAS TAB,TABASCO,72324256,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1034111,GASOL MARIN NACAJUCA,CMA 981209IC9,PRO EUSEBIO CASTILLO SN,17 DE JULIO,86220,NACAJUCA TAB,TABASCO,43372493,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1038018,GASOLINERA EL TRIUNFO,MOML451105IC7,C 27 DE FEBRERO SN,EL TRIUNFO,86950,BALANCAN TAB,TABASCO,43460037,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1018790,GASOLINER EST SER 7808,SSC 001030I68,CARR VILLAHER CARDENAS KM 18 5,ACACHAPAN Y COLMENA 2A SECCION,86280,VILLAHERMOSA TAB,TABASCO,33365070,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1049038,GASOL C MARIN Y ASOC,CMA 9911266C1,BLVD CARLOS A MADRAZO NO 220,ABASOLO,86700,MACUSPANA TAB,TABASCO,63621603,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1100420,COSTCO GAS VILLAHERMOS,CGA 160215952,CTO INT CARL PELLICER C NO 403,PLUTARCO ELIAS CALLES,86170,VILLAHERMOSA TAB,TABASCO,52465463,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1086277,EST SERV MARIN III,ESM 140627D6A,CARR FED EMIL ZAP TENOS KM 11,ULTIMO ESFUERZO,86996,EMILIANO ZAPATA TAB,TABASCO,41154199,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1098098,EST DE SERV EL TRIUNFO,CSM 170619FF5,C 27 DE FEBRERO SN,EL TRIUNFO,86950,BALANCAN TAB,TABASCO,227,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1126871,DISTRI DE GAS LP,DGL 180727680,AV NINOS HEROES SN,CARLOS PELLICER CAMARA,86670,COMALCALCO TAB,TABASCO,31204567,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1129601,GASOL REPSOL RAYON,DOPJ4505129V0,C LEANDRO ROVIROSA WADE SN,VICENTE GUERRERO,86350,COMALCALCO TAB,TABASCO,33343205,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1096446,CM GAS MACUSPANA 3,ESM 140627D6A,CARR VILLAHE ESCARCEGA KM 48 4,BUENA VISTA PUXCATAN,86700,MACUSPANA TAB,TABASCO,41164354,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1103123,ESTACION DE SERVICIO 2,ESM 140627D6A,AV CHIAPAS KM 1,EL PIEDRAL,86998,EMILIANO ZAPATA TAB,TABASCO,41164354,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1190517,ES MAS GAS MOCTEZ,GHE 201201144,C MOCTEZUMA SN,CARDENAS CENTRO,86500,CARDENAS TAB,TABASCO,71098982,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1190519,ES MAS GAS VEREDA,GHE 201201144,PERIF CARLOS A MOLINA SN,EL BAJIO 1RA SECCION,86598,CARDENAS TAB,TABASCO,71623151,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1157486,ESGES MINA,ESG 000418CS4,PROL PO FCO J Y EUSEBI NO 102,CASA BLANCA,86060,VILLAHERMOSA TAB,TABASCO,3142061,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1190520,ES MAS GAS LERDO,GHE 201201144,C LERDO DE TEJADA SN,HUIMANGUILLO,86400,HUIMANGUILLO TAB,TABASCO,71413345,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1252493,SUPER SERVICO BALANCAN,SSB 0001285N8,LUIS DONALDO COLOSIO NO 1000,ARENAL,86930,BALANCAN TAB,TABASCO,43440414,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1245866,SERVICIOS INNOVADORES,SIS 13011887A,PROL DE 27 DE FEBRERO 2801 PBA,GALAXIATABASCO 2000,86035,VILLAHERMOSA TAB,TABASCO,33102860,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
