Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
519918,SERV DEL NORDESTE,SNO930816BF7,AV PEDRO CARDENAS NO 3995,BUENAVISTA UNIDAD HABITACIONAL,87390,MATAMOROS TAMPS,TAMAULIPAS,88190921,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
858290,GASOL PROV LIQUI TAMPS,PLT051124KB0,AV CANAL RODHE NO 200,VILLAS DE IMAQ,88776,REYNOSA TAMPS,TAMAULIPAS,91296853,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
743393,TAMAULIGAS LIBRAMIENTO,TAM 980225QP5,LIBRAMIENTO SUR KM 5 8,FERNANDEZ GOMEZ,88570,REYNOSA TAMPS,TAMAULIPAS,99212520,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
911198,SERV DIVISORIA,ROBL4512274I1,CR TAM MANTE AN CR MAN NO 409,LAGUNA DE LA PUERTA,89310,TAMPICO TAMPS,TAMAULIPAS,31252086,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1011450,GAS HIPODROMONVO LARE,CECJ560214MN7,DIAG LINCOLN NO 6201,HIPODROMO,88170,NUEVO LAREDO TAMPS,TAMAULIPAS,71949969,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1003425,GAS NUEVO LAREDO,CECJ560214MN7,PROL LAGO DE CHAPALA NO 5629,AGRONOMOS,88298,NUEVO LAREDO TAMPS,TAMAULIPAS,71949969,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1005475,GAS RDZ VALLE HERMOSO,GRN 021217GA6,L ECHEV Y PRIV GALEANA ESQ SN,LEONISTICA,87500,VALLE HERMOSO TAMPS,TAMAULIPAS,48424080,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
931618,GASOL ORSAN DEL NORTE,ONO 9507278T4,AV PEDRO CARDENAS NO 1901,VICTORIA,87390,MATAMOROS TAMPS,TAMAULIPAS,88178661,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1039703,SERV TRECE Y CARRERA 1,STC9610311TA,AV ZEFERINO FAJARDO NO 143,JOSE LOPEZ PORTILLO,87010,CD VICTORIA TAMPS,TAMAULIPAS,3157455,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1066921,GAS EDGAR 1,EME 0307035D5,C PERU NO 800,VIVEROS,88070,NUEVO LAREDO TAMPS,TAMAULIPAS,77158827,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1115917,NATURGY NVO LAREDO 1,GNM 9712017P7,C TAMAULIPAS NO 3711,MORELOS,88250,NUEVO LAREDO TAMPS,TAMAULIPAS,77111850,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1066922,GAS EDGAR CENTRO,EME 0307035D5,C OBREGON NO 1243,NUEVO LAREDO CENTRO,88000,NUEVO LAREDO TAMPS,TAMAULIPAS,72173470,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1108839,GAS PREOLINE TEC,COR7908231U2,RIO PANUCO NO 1617,LOS LONGORIAS,88520,REYNOSA TAMPS,TAMAULIPAS,89039102,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1117130,SERVICIO ALDAMA,CMN 951115EM0,C ALDAMA NO 339,CIUDAD REYNOSA CENTRO,88500,REYNOSA TAMPS,TAMAULIPAS,99301783,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1140099,PRAXAIR P ALTAMIRA,PME 960701GG0,CARR TAMPICO MANTE KM 17 SN,LAGUNA DE LA PUERTA,89603,ALTAMIRA TAMPS,TAMAULIPAS,32335992,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1147489,COMBORSA EST JUANILLO,COR 7908231U2,CARR REYNOSA KM 6 5 6500,AMPLIACION EJIDO LAS RUSIAS,87324,MATAMOROS TAMPS,TAMAULIPAS,88103663,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
