Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
880377,GAS GRUPO CINCO,GCG0409134K2,TLAXCALA TLEXOLOC NO 42,CENTRO,90000,TLAXCALA TLAX,TLAXCALA,64668680,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1058648,GAS GLOBAL HUAMANTLA,GGC 020430GA8,CARR REYES MEX ZACAT KM140 560,SAN FRANCISCO YANCUITLALPAN,90505,HUAMANTLA TLAX,TLAXCALA,74724451,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1088872,GAS OPERADORA TLAXCO,OTL130715PAA,KM9 CARR FED APIZACO TLAXC SN,ATLANGATEPEC,90410,ATLANGATEPEC TLAX,TLAXCALA,14123570,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1095688,GAS DOLORES TLAXCALA,GDT 170825CK7,PRV SIN NOMBRE 103,10 DE MAYO,90402,APIZACO TLAX,TLAXCALA,14171920,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1075054,GASOL SERV APETATITLAN,GGO160624PX0,BLVD 5 DE MAYO NO 265,IGNACIO ZARAGOZA,90510,HUAMANTLA TLAX,TLAXCALA,4647686,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1086979,GRUPO GASOLINERO OC,GGO 160624PX0,C MELCHOR OCAMPO NO 50,TECOLOTLA,90608,APETATITLAN DE A CARVAJAL TLAX,TLAXCALA,64612012,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1095341,SERVICENTRO SL,SSL 090826NT9,CARR 136 MEXICO VERACRUZ SN,ALLENDE IGNACIO,90560,CUAPIAXTLA TLAX,TLAXCALA,64782218,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1138068,GAS GRUPO Q TLAX,GQT170504HJ4,CAR MEXICO VERACRUZ KM 159 500,SAN ANTONIIO,90560,CUAPIAXTLA TLAX,TLAXCALA,71003472,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1155116,GAS SANTA FE,GSF 1507223Q6,CAM TLALTEPANGO 157,TLALTEPANGO,90990,SN PABLO DEL MTE TLAX,TLAXCALA,29601396,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1316816,KISA GAS,KGA211027T32,CALLE DE LOS PINOS 68,SAN COSME XALOZTOC,90460,XALOZTOC TLAX,TLAXCALA,12773123,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1205056,SERVICIOC CUATEPITZI 1,CUJJ710428T60,CARR STA ANA PUEBLA KM 16 392,ACUAMANALA,90860,ACUAMANALA DE MIGUEL HGO TLAX,TLAXCALA,64978271,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1558170,GAS AUTO SERTLAXCALA,AST 890525BX4,AV TLAXCALA SUR NO 1,PANZACOLA,90796,PAPALOTLA DE XICOHTENCATL TLAX,TLAXCALA,26798525,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3641453,GAS SANTA MARIA TEAPI,MGA020110DU6,KM 121 120 CARR MEXICO VER SN,APIZACO CENTRO,90300,APIZACO TLAX,TLAXCALA,4170074,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4045372,SU SERVICIO CONTLA,SSC 031104LF5,CARR TSAN MIGUEL CONTLA A322,SAN MIGUEL CONTLA,90640,SANTA CRUZ TLAXCALA TLAX,TLAXCALA,64185440,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4066192,DIGASOL ESTACION 1,SCD 120131UA0,CARR FED MEX VERACRUZ KM1375,CUAHUTEMOC,90527,HUAMANTLA TLAX,TLAXCALA,74724227,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4068655,SERVICIO CALPULLI 1,SSC 1003027C5,CARR CALPULALPAN APAN 116,SAN FELIPE SULTEPEC,90200,CALPULALPAN TLAX,TLAXCALA,94587839,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4089934,ESTACION SN FERNANDO,GSF 791201JFA,CARR MEX VER KM 193 SN,EL CARMEN,90570,EL CARMEN TEQUEXQUITLA TLAX,TLAXCALA,4775123,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4022513,GAS SERVICIO LA BONITA,BSB100923AX7,CARR FED PUE TLA KM 26 460 0,LA AURORA,90182,TEPEYANCO TLAX,TLAXCALA,64943672,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4075688,SERV STA MA ATLIHUET1,SSM 110328GL5,CARR TLAX APIZACO KM 130 SN,CASAHTLA,90459,YAUHQUEMEHCAN TLAX,TLAXCALA,14610826,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4101203,GAS SERV SAN PABLO,SSS 030129L74,C MANUEL DOBLADO 2,APETATITLAN,90600,APETATITLAN DE A CARVAJAL TLAX,TLAXCALA,62509095,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1290742,EST DE SERVICIO 9066 M,SDO 0908124D4,BLEVAR TULIO HERNANDEZ G 216,MUNOZ,90420,MUNOZ DE DOMINGO ARENAS TLAX,TLAXCALA,14151160,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4111203,DIGASOL II,SCD 151218577,CARR MEX VER KM 147,HUAMANTLA CENTRO,90500,HUAMANTLA TLAX,TLAXCALA,74722462,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4091927,SERVAUTOVIA,SAU 091210725,CARR FEDERAL MEX VER KM 125 70,VENUSTIANO CARRANZA,90460,XALOZTOC TLAX,TLAXCALA,14132397,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4125635,SERVICIOS SAN JOSE,TERA671016LSA,CARR ESTA MENA CD XICO KM 4,CIUDAD INDUSTRIAL XICOHTENCATL,90434,TETLA DE LA SOLIDARIDAD TLAX,TLAXCALA,11471078,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4134843,SERVICIO LA CORTA BEPA,SCB 090128IR8,C MAURO ANGUL0 SN,TEOTLALPAN,90835,LA MAGDALENA TLALTELULCO TLAX,TLAXCALA,64610870,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4070624,SERVICIO HUEYOTLIPAN,SHU 151209GU0,CARR MEX VER KM 106 SN,SAN ILDEFONSO HUEYOTLIPAN,90240,HUEYOTLIPAN TLAX,TLAXCALA,14962122,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4072994,LUBRYGAS DORANTES 2,LDO 831116NB9,BLVD 16 DE SEPTIEMBRE NO 501,CENTRO,90300,APIZACO TLAX,TLAXCALA,14175366,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4140453,DUAL ENER GAS,EDU 050719937,BLVD JUAN PABLO II 114,SAN LUCAS,90507,HUAMANTLA TLAX,TLAXCALA,79990070,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4083418,SERVICIO ZUMPAGAS,SZU 111007FX5,C ABASOLO ORIENTE 215,HUAMANTLA CENTRO,90500,HUAMANTLA TLAX,TLAXCALA,70516854,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4117215,ENERGETICOS DUAL,EDU 050719937,BLVD JUAN PABLO II 114,MORELOS JOSE MARIA,90500,HUAMANTLA TLAX,TLAXCALA,75631463,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4104719,COMBUSTIBLES ROOMA I,CRO 1206061T0,C KM 83 MAS 700 SN,SAN ILDEFONSO HUEYOTLIPAN,90240,HUEYOTLIPAN TLAX,TLAXCALA,11240378,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4109826,GAS GGI APIZACO,GGI1205097F6,VENUSTIANO CARRANZA NO 200,CENTRO,90300,APIZACO TLAX,TLAXCALA,11417542,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4140454,GASOIL ENER DUAL,EDU 050719937,BLVD JUAN PABLO II 114,SAN JOSE,90505,HUAMANTLA TLAX,TLAXCALA,79990071,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4032475,NATGAS TLAX,NAT 991119TD6,LARDIZABAL NO 16 L A,CENTRO,90000,TLAXCALA TLAX,TLAXCALA,22295700,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4035357,SERVICIO BAPJE,SVB 1306031S8,16 DE SEPTIEMBRE NO 1200,CENTRO,90300,APIZACO TLAX,TLAXCALA,14170064,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4163737,SERVICIO MAKANA,SMA 071211B69,CARR APIZACO TLAXCO KM 1 1 600,GRANJAS DE GUADALUPE,90320,APIZACO TLAX,TLAXCALA,12166319,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
