Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
410993,PETRO GAS,PGA 800507V11,CARR COSTERA DEL GOLFO NO 180,NUEVA CALZADAS,96567,COATZACOALCOS VER,VERACRUZ,19891800,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
661595,PCN0307033R0 GAS,PCN 0307033R0,AUT CORDOBA VER KM 85 640 SN,MEDELLIN DE BRAVO,94270,MEDELLIN VER,VERACRUZ,59240223,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
766055,SERV SUJUXI,SSU 020405KH5,CARR COAT VILLAHER KM 14 800,MOLOACAN,96372,MOLOACAN VER,VERACRUZ,1521106,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
662858,PCN0307033R0 GAS,PCN 0307033R0,AUT CORD VER KM 85 739 5 SN,EL RANCHO DEL PADRE,94270,MEDELLIN VER,VERACRUZ,5200097,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
685230,GAS JAMSA,GJA 070420EF0,JUAN OSORIO LOPEZ NO 100,HEROE DE NACOZARI,96599,COATZACOALCOS VER,VERACRUZ,2173518,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
761007,GASOL ARLO,CGA070308PI1,AV ALEJ HUMBOLDT SUR NO 69,PEROTE,91270,PEROTE VER,VERACRUZ,28250567,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1010335,GASO PETRORAC,PET 100823PI1,C PROL D AV B JUAREZ 38A BIS,LOS FRESNOS,94724,NOGALES VER,VERACRUZ,27427395,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1012810,CORPORATIVO MAXIABA,CMA 120421M71,CARR TINAJAS TIERR BLANCA KM16,RODRIGUEZ TEJEDA,95207,TIERRA BLANCA VER,VERACRUZ,47437032,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1010557,COMB Y LUB DON JUSTO,CLD 110829BJ9,CARR FED CORD LA TINAJA KM 44,CUITLAHUAC,94910,CUITLAHUAC VER,VERACRUZ,99350134,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1019692,GAS DEL ATLANTICO4,GAT 960911GI5,CARR NAC KM 323 SN,IXTACZOQUITLAN,94450,IXTACZOQUITLAN VER,VERACRUZ,27280900,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
