Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
429555,ESTACION PERIFERICO NO,ESP 010305GC7,11 PERIF NO 349 L,SANTA GERTRUDIS COPO,97305,MERIDA YUC,YUCATAN,99429090,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
664367,CARBURANTES DE YUCATAN,CYU050823P34,C 48 NO 479 POR 73 Y 78,TIZIMIN,97700,TIZIMIN YUC,YUCATAN,68636729,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
979161,GASOLINERA SAN LUCAS,SSL 020419I62,C 24 107 C,DZIDZANTUN,97500,DZIDZANTUN YUC,YUCATAN,19580920,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1024448,E03226 SERV RANCHERO,FJM 060123IE6,C 33 NO 97,SUCILA,97630,SUCILA YUC,YUCATAN,68639069,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1026584,GAS SANTA ANA,CASI460119KZ7,C 58 NO 433,LA QUINTA,97000,MERIDA YUC,YUCATAN,99282491,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1033774,GASOL SERVICIORANCHERO,FJM 060123IE6,C 33 NO 97,SUCILA,97630,SUCILA YUC,YUCATAN,68639069,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1029368,ESTACION 3093,RICJ551211S68,C 10 NO 91 A,DZILAM DE BRAVO,97606,DZILAM DE BRAVO YUC,YUCATAN,19122524,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1036215,GAS MAGNOLIAS,IPE 110311IRA,C 60 NO 294 X 21,MAGNOLIAS,97203,MERIDA YUC,YUCATAN,99545497,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1056892,GAS COMBU CHUB KAUA,CCU 0404282F9,C 69 NO 157 X 8 A Y 8 B,SAN ANTONIO KAUA,97195,MERIDA YUC,YUCATAN,99810500,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1081095,EST SERVICIOS SALVADOR,SSS 1503031A0,CARR FED M PTO J KM27 MAS284,TEYA,97524,TEYA YUC,YUCATAN,14069059,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
