Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
428680,ISLO GAS,IGA000403MX1,HEROES DE CHAPULTEPEC NO 1966,LA ESCONDIDA,98160,ZACATECAS ZAC,ZACATECAS,2925101,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
1075555,GASISLO CONDESA,GDM960315NMA,CALZ REVOLUCION MEXICA NO 64,LA CONDESA,98612,GUADALUPE ZAC,ZACATECAS,29230010,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1075563,GASISLO ESCONDIDA,GDM960315NMA,CARR GUADALAJARA ZAC NO 108 L,LA ESCONDIDA,98160,ZACATECAS ZAC,ZACATECAS,27681540,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1102467,GAS OSEZAC,OSE 131014628,HEROES DE CHAPULTEPEC NO 303,MINERA,98050,ZACATECAS ZAC,ZACATECAS,1030344,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1141765,SERVICIO RIVENI,SRI 0607061Y3,CAR FRESNILLO VALPARAISO KM 22,AGRICOLA GUANAJUATO,99190,FRESNILLO ZAC,ZACATECAS,31422203,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1189410,SERVICIO FLORES,FOAE790928LS3,CARR FED 23 JRZ TP KM 24,JEREZ CENTRO,99300,JEREZ ZAC,ZACATECAS,41044142,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1173411,SERVICIO MADERO,TODS621021554,CARR PANAMERICANA KM 694,GRAL ENRIQUE ESTRADA,98560,GRAL ENRIQUE ESTRADA ZAC,ZACATECAS,89852337,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
1191830,EST SERV CHAPARROSA,ISJ 120814T74,CARRET CHUPADEROS CHAPA 19,BANON,98471,VILLA DE COS ZAC,ZACATECAS,92299632,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2319788,GAS CENTROJUAN ALDAMA,NAS 940210BQ1,CARR FEDERAL NO 49 KM 124,ALDAMA JUAN,98300,JUAN ALDAMA ZAC,ZACATECAS,89830633,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2365393,GASISLO GARCIA SALINAS,GDM960315NMA,AV GARCIA SALINAS NO 378 L,LAS ARBOLEDAS,98608,GUADALUPE ZAC,ZACATECAS,28993071,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2365476,GASISLO FRESNILLO,GDM960315NMA,PASEO DEL MINERAL NO 519 L,BARRIO ALTO,99070,FRESNILLO ZAC,ZACATECAS,39328350,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3345170,GASISLO SAIN ALTO,GDM960315NMA,BLV J SALVADOR RI C NO 33 L A,SAIN ALTO,99130,SAIN ALTO ZAC,ZACATECAS,89340555,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
